kd_brg,nm_brg,hrg,jml,ktg
PRD090089,Sprite Botol 390ml,5000,97,Minuman
PRD090090,Rokok Gudang Garam Filter,23000.00,65,Rokok
PRD090091,Pembersih Lantai Super Pell 770ml,13500,5,Pembersih
PRD090092,Shampo Sunsilk Sachet,1500,,Perawatan Pribadi
PRD090093,Kopi Luwak White Koffie, 2000 ,73,
PRD090094,Minyak Bimoli 2L,Rp 35.000,-50,Sembako
PRD090095,Margarin Blue Band 200g,9500.00,-35,Sembako
PRD090096,Kopi Kapal Api Sachet,1500.00,98,Minuman
PRD090097,Sprite Botol 390ml, 5000 ,60,Minuman
PRD090098,Kecap Bango Pouch 220ml,Rp 11000,55,Bumbu
PRD090099,Fanta Merah 390ml,5000.00,-35,Minuman
PRD090100,Sabun Cuci Piring Sunlight 460ml,11000.00,39,Pembersih
PRD090101,Sabun Mandi Dettol,5000,-40,Perawatan Pribadi
PRD090102,Korek Api Gas Tokai,Rp 3.000,94,Lainnya
PRD090103,Susu Dancow Sachet,,39,Minuman
PRD090104,,2500,92,Bumbu
PRD090105,Tisu Tessa 250s, 17000 ,2,Lainnya
PRD090106,Bumbu Racik Indofood Sayur Asem,Rp 2500,1,Bumbu
PRD090107,Kopi Luwak White Koffie,Rp 2.000,9.0,Minuman
PRD090108,Mie Sedap Goreng,Rp 2.900,4,Makanan
PRD090109,Sabun Nuvo Biru,Rp 3.500,32,Perawatan Pribadi
PRD090110,Minyak Curah 1L,16000,,Sembako
PRD090111,Minyak Sania 2L,34500,16,Sembako
PRD090112,Baterai ABC Sedang (2 pcs),10000,-83,Lainnya
PRD090113,Sabun Mandi Dettol,5000.00,37,Perawatan Pribadi
PRD090114,Susu Dancow Sachet,3500.00,63,Minuman
PRD090115,Pasta Gigi Ciptadent 190g,10000.00,76,Perawatan Pribadi
PRD090116,Bumbu Racik Indofood Sayur Asem,Rp 2.500,75,Bumbu
PRD090117,Susu Frisian Flag Sachet,1500,10,Minuman
PRD090118,Sabun Nuvo Biru,Rp 3.500,76,Perawatan Pribadi
PRD090119,Garam Kapal 250g,Rp 3.000,-17,Bumbu
PRD090120,Shampo Sunsilk Sachet,,-69,Perawatan Pribadi
PRD090121,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,-13,Pembersih
PRD090122,Bumbu Racik Indofood Nasi Goreng,,61,Bumbu
PRD090123,Popok MamyPoko Pants M,55000,93,Perawatan Bayi
PRD090124,Minyak Sania 2L,34500,57,Sembako
PRD090125,Susu Frisian Flag Sachet,Rp 1500,-90,Minuman
PRD090126,Le Minerale 600ml,3500,45,Minuman
PRD090127,Shampo Clear Sachet,Rp 1.500,16,Perawatan Pribadi
PRD090128,Pembalut Charm Cooling Fresh,Rp 18.000,76,Perawatan Pribadi
PRD090129,Pasta Gigi Ciptadent 190g,,54,Perawatan Pribadi
PRD090130,Beras Ramos 5kg,Rp 65000,42,Sembako
PRD090131,Kapur Barus Bagus,Rp 15000,79.0,Lainnya
PRD090132,Rokok Surya 16, 31000 ,,Rokok
PRD090133,Kopi Torabika Susu,Rp 1.500,40,Minuman
,Aqua Botol 600ml,Rp 3.500,73,Minuman
PRD090135,Teh Sariwangi Celup,6500,-87,Minuman
PRD090136,Kopi Kapal Api Sachet,Rp 1.500,-96,Minuman
,Kecap Bango Pouch 220ml,Rp 11000,55,Bumbu
PRD090138,Indomie Kari Ayam,Rp 2800,61.0,Makanan
PRD090139,Tepung Beras Rose Brand 500g,Rp 7.500,67,Sembako
PRD090140,Sabun Lux Mawar, 4500 ,10.0,Perawatan Pribadi
PRD090141,Shampo Pantene Sachet,Rp 1.500,94,Perawatan Pribadi
PRD090142,Aqua Botol 600ml,3500,,Minuman
PRD090143,Indomie Kari Ayam,2800.00,17,Makanan
PRD090144,Minyak Bimoli 2L,35000,68,Sembako
PRD090145,,9500.00,-8,
PRD090146,Sabun Lifebuoy Merah,4000.00,48,Perawatan Pribadi
PRD090147,Indomie Kari Ayam,Rp 2.800,44.0,Makanan
PRD090148,Susu Indomilk Sachet,Rp 1500,49,Minuman
PRD090149,Kapur Barus Bagus,15000.00,-51,Lainnya
PRD090150,Rokok Surya 16,Rp 31000,91,Rokok
PRD090151,Kopi Kapal Api Sachet,Rp 1500,58,Minuman
PRD090152,Garam Kapal 250g,3000.00,95,Bumbu
PRD090153,Minyak Filma 2L,Rp 34.000,50,Sembako
PRD090154,Minyak Filma 2L,Rp 34.000,37,Sembako
PRD090155,Minyak Bimoli 2L,35000,27,Sembako
PRD090156,Teh Celup Sosro,7000,49,Minuman
PRD090157,Aqua Botol 600ml,3500.00,64,Minuman
PRD090158,,18000.00,42,Pembersih
PRD090159,Shampo Sunsilk Sachet,Rp 1500,51,Perawatan Pribadi
PRD090160,Rokok Marlboro Merah,38000.00,59.0,Rokok
PRD090161,Saus Sambal ABC 340ml,15000,24,
PRD090162,Sabun Cuci Piring Mama Lemon 400ml, 9500 ,87,Pembersih
,Pembersih Lantai Super Pell 770ml,13500,83,Pembersih
PRD090164,Tepung Terigu Segitiga Biru 1kg, 13000 ,-51,Sembako
PRD090165,Obat Nyamuk Baygon Bakar,6000,83.0,Lainnya
PRD090166,Kopi Nescafe Classic,5000,22,Minuman
PRD090167,Rokok Surya 16,31000,23,Rokok
,Teh Sariwangi Celup,6500,0,Minuman
PRD090169,Kopi Torabika Susu,1500,83,Minuman
PRD090170,Baterai ABC Sedang (2 pcs),Rp 10000,73,Lainnya
PRD090171,Sabun Lux Mawar,4500,23.0,Perawatan Pribadi
PRD090172,Beras Pandan Wangi 5kg, 70000 ,77,Sembako
PRD090173,Sprite Botol 390ml,Rp 5.000,28,Minuman
PRD090174,Mie Sedap Goreng,2900.00,60,Makanan
PRD090175,Le Minerale 600ml,3500,96.0,Minuman
PRD090176,Sabun Nuvo Biru,Rp 3.500,34,Perawatan Pribadi
PRD090177,Pembersih Lantai Super Pell 770ml,13500,98,Pembersih
PRD090178,Tepung Beras Rose Brand 500g,Rp 7.500,8,
,Teh Sariwangi Celup,6500,18,
PRD090180,Teh Celup Sosro, 7000 ,42,Minuman
PRD090181,Sprite Botol 390ml,,35,Minuman
PRD090182,Indomie Goreng,Rp 3.000,76,Makanan
PRD090183,Minyak Sania 2L,34500,64,Sembako
PRD090184,Rokok Djarum Super,Rp 22.000,9.0,Rokok
PRD090185,Deterjen Attack Jaz1 800g,19000,97,Pembersih
PRD090186,Minyak Curah 1L,Rp 16.000,84,Sembako
PRD090187,Aqua Botol 600ml,Rp 3.500,11,Minuman
PRD090188,,4000.00,95,Perawatan Pribadi
PRD090189,Pembalut Charm Cooling Fresh,Rp 18000,-10,
PRD090190,Kopi ABC Susu,1500,3,Minuman
PRD090191,Margarin Blue Band 200g,9500.00,78,Sembako
PRD090192,Bumbu Racik Indofood Nasi Goreng,,,Bumbu
PRD090193,Kopi ABC Susu,Rp 1.500,39,Minuman
PRD090194,Minyak Bimoli 2L,Rp 35000,66,Sembako
PRD090195,Fanta Merah 390ml,5000,8,Minuman
PRD090196,Shampo Lifebuoy Sachet,Rp 1.000,57,Perawatan Pribadi
PRD090197,Kecap ABC Pouch 220ml,9500.00,81,Bumbu
PRD090198,Minyak Sania 2L, 34500 ,98,Sembako
PRD090199,Aqua Gelas 240ml,1000,43,Minuman
PRD090200,Susu Bear Brand,Rp 10.500,69,Minuman
,Mie Sedap Goreng,Rp 2.900,93,Makanan
PRD090202,Baterai ABC Sedang (2 pcs),Rp 10000,36.0,Lainnya
PRD090203,Sprite Botol 390ml,5000,,Minuman
PRD090204,Garam Refina 250g,Rp 3500,67,Bumbu
PRD090205,Susu Bear Brand,Rp 10500,6,Minuman
PRD090206,Deterjen Rinso Anti Noda 700g,22000.00,6,Pembersih
PRD090207,Teh Pucuk Harum 350ml,4000,90,Minuman
PRD090208,Rokok Marlboro Merah,Rp 38000,,Rokok
PRD090209,Shampo Sunsilk Sachet,1500.00,87,Perawatan Pribadi
PRD090210,Gula Pasir Gulaku 1kg,Rp 16.000,60,Sembako
PRD090211,Kopi Kapal Api Sachet,Rp 1.500,64,Minuman
PRD090212,Minyak Sania 2L, 34500 ,53,Sembako
PRD090213,Tisu Tessa 250s,17000,99.0,Lainnya
PRD090214,Coca Cola Botol 390ml,5000,92,Minuman
PRD090215,Aqua Galon,21000.00,98,Minuman
PRD090216,Kopi Torabika Susu,1500,39,Minuman
PRD090217,Shampo Clear Sachet,Rp 1.500,100,Perawatan Pribadi
PRD090218,Deterjen Rinso Anti Noda 700g,22000.00,15,Pembersih
PRD090219,Deterjen Rinso Anti Noda 700g,Rp 22000,38,Pembersih
PRD090220,Pembalut Laurier Relax Night,Rp 20000,44,Perawatan Pribadi
PRD090221,Sabun Cuci Piring Sunlight 460ml,11000,,Pembersih
PRD090222,Rokok Djarum Super, 22000 ,90,Rokok
PRD090223,Obat Nyamuk Hit Spray, 35000 ,5,Lainnya
PRD090224,Shampo Clear Sachet,Rp 1500,-81,Perawatan Pribadi
PRD090225,Indomie Goreng,3000.00,78,Makanan
PRD090226,Popok Sweety Bronze Pants L,48000,65,Perawatan Bayi
PRD090227,Sabun Cuci Piring Sunlight 460ml,11000,94,Pembersih
PRD090228,,Rp 6000,23,Lainnya
PRD090229,Popok MamyPoko Pants M,Rp 55000,21,Perawatan Bayi
PRD090230,Sabun Lux Mawar,4500.00,40,Perawatan Pribadi
PRD090231,Pembersih Lantai Wipol 750ml,18000,,Pembersih
PRD090232,Saus Sambal ABC 340ml,Rp 15000,1.0,Bumbu
PRD090233,Sabun Nuvo Biru,Rp 3500,55,Perawatan Pribadi
PRD090234,Minyak Bimoli 2L,Rp 35000,21,Sembako
PRD090235,Minyak Filma 2L,Rp 34.000,98,Sembako
PRD090236,Margarin Forvita 200g,7000,26,Sembako
PRD090237,Pasta Gigi Ciptadent 190g,10000,38,Perawatan Pribadi
PRD090238,Deterjen Daia 850g,18500.00,4,Pembersih
PRD090239,Minyak Bimoli 2L,35000.00,41,Sembako
PRD090240,Beras Rojolele 5kg,Rp 67.000,95,Sembako
PRD090241,Saus Sambal Indofood 340ml,14500,43,Bumbu
PRD090242,Popok MamyPoko Pants M,Rp 55.000,,Perawatan Bayi
PRD090243,Pasta Gigi Ciptadent 190g,10000,10,Perawatan Pribadi
PRD090244,Mie Sedap Goreng,2900.00,78,Makanan
PRD090245,Tisu Tessa 250s,Rp 17.000,48,Lainnya
PRD090246,Korek Api Gas Tokai,3000.00,88,Lainnya
PRD090247,Shampo Clear Sachet,Rp 1.500,87,Perawatan Pribadi
PRD090248,Sabun Nuvo Biru,3500.00,87,Perawatan Pribadi
PRD090249,Minyak Sania 2L,34500.00,20,Sembako
PRD090250,Pasta Gigi Ciptadent 190g,10000,29,
PRD090251,Indomie Goreng,3000,46,Makanan
PRD090252,Margarin Forvita 200g,Rp 7000,27,Sembako
PRD090253,Minyak Sania 2L,34500,93,Sembako
PRD090254,Kecap ABC Pouch 220ml,9500,54,Bumbu
,Rokok Marlboro Merah,Rp 38.000,82,Rokok
PRD090256,Popok Sweety Bronze Pants L,Rp 48.000,-67,Perawatan Bayi
PRD090257,Rokok Gudang Garam Filter,23000,75,Rokok
PRD090258,,9500,62,Sembako
PRD090259,Susu Frisian Flag Sachet,Rp 1.500,19,Minuman
PRD090260,Susu Dancow Sachet,Rp 3500,,Minuman
PRD090261,Popok MamyPoko Pants M,Rp 55000,48,Perawatan Bayi
PRD090262,,5000.00,18.0,Minuman
PRD090263,Tepung Tapioka Rose Brand 500g,,13,Sembako
PRD090264,Rokok Djarum Super,22000,53,Rokok
PRD090265,Le Minerale 600ml,3500.00,0,Minuman
PRD090266,Sikat Gigi Formula,6000.00,51,Perawatan Pribadi
PRD090267,Susu Bear Brand,10500.00,29,
PRD090268,Saus Sambal Indofood 340ml, 14500 ,-26,Bumbu
PRD090269,Indomie Kuah Ayam Bawang,2800,12,Makanan
PRD090270,Sabun Lux Mawar,4500,95.0,Perawatan Pribadi
PRD090271,Kopi Torabika Susu,Rp 1.500,24,Minuman
PRD090272,Teh Celup Sosro, 7000 ,24,Minuman
PRD090273,,3500.00,42,Minuman
PRD090274,Kopi Luwak White Koffie,2000.00,,Minuman
PRD090275,Teh Sariwangi Celup,,63.0,Minuman
PRD090276,Rokok Surya 16,31000.00,28,Rokok
PRD090277,Pasta Gigi Pepsodent 190g,12500,35,Perawatan Pribadi
PRD090278,Gula Pasir Gulaku 1kg,16000.00,18,Sembako
PRD090279,Kecap Bango Pouch 220ml,11000.00,62,Bumbu
PRD090280,Pasta Gigi Pepsodent 190g,Rp 12.500,60,Perawatan Pribadi
PRD090281,Shampo Pantene Sachet,1500,73.0,Perawatan Pribadi
PRD090282,Aqua Galon,,52,Minuman
PRD090283,Kopi Torabika Susu,1500,54,Minuman
PRD090284,Minyak Filma 2L,34000,91,Sembako
PRD090285,Minyak Sania 2L,Rp 34.500,37,Sembako
PRD090286,Indomie Kuah Soto, 2800 ,42,Makanan
PRD090287,Rokok Sampoerna Mild,30000,91,Rokok
PRD090288,Sabun Mandi Dettol,5000.00,31,Perawatan Pribadi
PRD090289,Pembalut Charm Cooling Fresh,18000,10,Perawatan Pribadi
PRD090290,Tisu Paseo 250s,18500,30,Lainnya
PRD090291,Shampo Sunsilk Sachet,1500,44,
PRD090292,Garam Refina 250g,3500.00,23,Bumbu
PRD090293,Tepung Tapioka Rose Brand 500g,8000,46,Sembako
PRD090294,Deterjen Rinso Anti Noda 700g,Rp 22.000,6,Pembersih
PRD090295,Pembalut Charm Cooling Fresh,Rp 18.000,-57,Perawatan Pribadi
PRD090296,Tepung Beras Rose Brand 500g,7500.00,53,Sembako
PRD090297,Sabun Nuvo Biru,,23,Perawatan Pribadi
PRD090298,Rokok Marlboro Merah,38000,82,Rokok
PRD090299,Popok Sweety Bronze Pants L,Rp 48000,66,Perawatan Bayi
PRD090300,Bumbu Racik Indofood Nasi Goreng,2500.00,44,Bumbu
PRD090301,Popok Sweety Bronze Pants L,Rp 48.000,68,Perawatan Bayi
PRD090302,Aqua Botol 600ml,3500.00,64,Minuman
,Minyak Filma 2L,Rp 34000,-1,Sembako
,Bumbu Racik Indofood Nasi Goreng,2500.00,-48,Bumbu
PRD090305,Popok Sweety Bronze Pants L,48000,61,Perawatan Bayi
PRD090306,Baterai ABC Sedang (2 pcs),Rp 10.000,90,Lainnya
PRD090307,Tepung Beras Rose Brand 500g,Rp 7.500,10.0,Sembako
PRD090308,Indomie Goreng,3000.00,61,Makanan
PRD090309,Indomie Kari Ayam, 2800 ,68,Makanan
PRD090310,Shampo Pantene Sachet,Rp 1.500,16,Perawatan Pribadi
PRD090311,Minyak Sania 2L,Rp 34500,85,Sembako
PRD090312,Deterjen Attack Jaz1 800g,19000,61,Pembersih
,Rokok Sampoerna Mild,30000.00,67,Rokok
PRD090314,Sabun Mandi Dettol,Rp 5.000,33,Perawatan Pribadi
,Gula Pasir Gulaku 1kg,Rp 16000,,Sembako
PRD090316,Tepung Tapioka Rose Brand 500g,Rp 8000,38,
PRD090317,Rokok Surya 16,31000,-3,Rokok
PRD090318,,Rp 8000,72,Sembako
PRD090319,Pembalut Charm Cooling Fresh,18000.00,-40,Perawatan Pribadi
PRD090320,Kopi ABC Susu,Rp 1.500,8,Minuman
PRD090321,Sabun Cuci Piring Sunlight 460ml,11000,92,Pembersih
PRD090322,Beras Pandan Wangi 5kg,70000,93,Sembako
PRD090323,Kopi ABC Susu,Rp 1500,22,Minuman
PRD090324,Pembalut Charm Cooling Fresh,18000.00,90,Perawatan Pribadi
PRD090325,Minyak Curah 1L,16000,91,Sembako
PRD090326,Bumbu Racik Indofood Sayur Asem,2500.00,86.0,Bumbu
PRD090327,Rokok Marlboro Merah,Rp 38.000,33,Rokok
PRD090328,Teh Pucuk Harum 350ml,4000.00,66,Minuman
PRD090329,Sikat Gigi Formula,6000,9,Perawatan Pribadi
PRD090330,Tisu Tessa 250s, 17000 ,28,
PRD090331,Beras Ramos 5kg,Rp 65.000,60,Sembako
PRD090332,Kecap Bango Pouch 220ml,11000,55,Bumbu
PRD090333,Deterjen Attack Jaz1 800g,19000,17,Pembersih
PRD090334,Sabun Mandi Dettol, 5000 ,71,Perawatan Pribadi
PRD090335,Pembalut Laurier Relax Night,20000.00,53,Perawatan Pribadi
PRD090336,Indomie Goreng,3000,22,Makanan
PRD090337,Le Minerale 600ml,Rp 3.500,57,Minuman
PRD090338,Tepung Tapioka Rose Brand 500g,8000,75.0,Sembako
PRD090339,Kopi Luwak White Koffie,2000,86,Minuman
PRD090340,Pembersih Lantai Wipol 750ml, 18000 ,54,Pembersih
PRD090341,Sabun Nuvo Biru,3500.00,2,Perawatan Pribadi
PRD090342,Minyak Filma 2L,34000,-27,Sembako
PRD090343,Beras Ramos 5kg,Rp 65000,66.0,Sembako
PRD090344,Fanta Merah 390ml,5000.00,51.0,Minuman
PRD090345,Sabun Lux Mawar,4500.00,74,Perawatan Pribadi
PRD090346,Indomie Kuah Ayam Bawang,2800.00,78,Makanan
PRD090347,Tisu Paseo 250s,18500.00,-73,Lainnya
PRD090348,Kopi Nescafe Classic,Rp 5000,-85,Minuman
PRD090349,Gula Curah 1kg,15000,80,Sembako
PRD090350,Deterjen Rinso Anti Noda 700g, 22000 ,55.0,Pembersih
PRD090351,Coca Cola Botol 390ml,5000.00,62,Minuman
PRD090352,Minyak Filma 2L,34000,96,Sembako
PRD090353,Kopi Torabika Susu, 1500 ,38,Minuman
PRD090354,Minyak Filma 2L,Rp 34.000,56,Sembako
,Kopi ABC Susu,Rp 1500,40,Minuman
PRD090356,Garam Refina 250g,Rp 3.500,80,Bumbu
PRD090357,Garam Kapal 250g,,-5,Bumbu
PRD090358,Susu Bear Brand,10500,14.0,Minuman
PRD090359,Aqua Galon,21000.00,28,Minuman
PRD090360,Teh Celup Sosro,Rp 7.000,-6,Minuman
PRD090361,Shampo Sunsilk Sachet,Rp 1.500,32,Perawatan Pribadi
PRD090362,Minyak Curah 1L,16000.00,40,Sembako
PRD090363,Indomie Goreng,,97,Makanan
PRD090364,Gula Curah 1kg,15000.00,8,Sembako
PRD090365,Deterjen Daia 850g,18500.00,89,Pembersih
PRD090366,Aqua Gelas 240ml,1000.00,-84,
PRD090367,Garam Refina 250g,3500,-1,Bumbu
PRD090368,Sprite Botol 390ml,Rp 5000,66,Minuman
PRD090369,Sikat Gigi Formula,6000,67,Perawatan Pribadi
PRD090370,Teh Celup Sosro,7000.00,6.0,Minuman
PRD090371,Pembalut Charm Cooling Fresh,18000,19,Perawatan Pribadi
PRD090372,Margarin Forvita 200g,7000.00,93,Sembako
PRD090373,Beras Rojolele 5kg,67000.00,4,Sembako
PRD090374,Rokok Surya 16,Rp 31000,89,
PRD090375,Rokok Marlboro Merah,38000,-53,Rokok
PRD090376,Susu Frisian Flag Sachet,1500.00,-41,Minuman
PRD090377,Obat Nyamuk Baygon Bakar,Rp 6.000,1,Lainnya
PRD090378,Teh Sariwangi Celup,,,Minuman
PRD090379,Susu Indomilk Sachet,Rp 1500,2,
PRD090380,Rokok Djarum Super,22000,89,Rokok
PRD090381,Margarin Blue Band 200g,9500,66,Sembako
PRD090382,Shampo Lifebuoy Sachet,Rp 1000,36,Perawatan Pribadi
PRD090383,Rokok Djarum Super,Rp 22.000,31,Rokok
PRD090384,Coca Cola Botol 390ml,5000,16.0,Minuman
,Mie Sedap Goreng,2900,87,Makanan
PRD090386,Tepung Beras Rose Brand 500g,Rp 7500,65,Sembako
PRD090387,Pembersih Lantai Super Pell 770ml, 13500 ,78,Pembersih
PRD090388,Sabun Lifebuoy Merah,Rp 4000,94,
PRD090389,Rokok Marlboro Merah,38000,98.0,Rokok
PRD090390,Deterjen Daia 850g,Rp 18500,,Pembersih
PRD090391,Shampo Clear Sachet,Rp 1500,-18,Perawatan Pribadi
PRD090392,,Rp 18.000,-24,Pembersih
PRD090393,Kopi Torabika Susu,Rp 1.500,-27,Minuman
PRD090394,Popok Sweety Bronze Pants L, 48000 ,-70,Perawatan Bayi
PRD090395,Saus Sambal ABC 340ml,15000.00,95.0,Bumbu
PRD090396,Pasta Gigi Ciptadent 190g,10000,80,Perawatan Pribadi
PRD090397,Kapur Barus Bagus,15000,12,Lainnya
PRD090398,Popok Sweety Bronze Pants L,48000.00,49,Perawatan Bayi
PRD090399,,Rp 10000,50,Lainnya
PRD090400,Tisu Tessa 250s,17000,8,Lainnya
PRD090401,Indomie Kuah Soto,Rp 2800,25,Makanan
PRD090402,Baterai Alkalin AA (2 pcs),15000,61,Lainnya
PRD090403,Minyak Sania 2L,34500.00,87,Sembako
PRD090404,Kopi Kapal Api Sachet,1500,72,Minuman
PRD090405,Margarin Forvita 200g,7000,,Sembako
PRD090406,Susu Bear Brand,Rp 10500,13.0,Minuman
PRD090407,Tepung Terigu Segitiga Biru 1kg,Rp 13000,19,Sembako
PRD090408,Teh Celup Sosro,,94.0,Minuman
PRD090409,Sikat Gigi Formula,Rp 6.000,34,Perawatan Pribadi
,Gula Curah 1kg,15000,34,Sembako
PRD090411,Sikat Gigi Formula,Rp 6.000,70,Perawatan Pribadi
PRD090412,Kecap Bango Pouch 220ml,11000,90,Bumbu
PRD090413,Beras Ramos 5kg,65000,1,Sembako
PRD090414,Kopi Kapal Api Sachet,1500.00,84,Minuman
PRD090415,, 4500 ,22,Perawatan Pribadi
PRD090416,Sabun Mandi Dettol,5000.00,-70,Perawatan Pribadi
PRD090417,Beras Rojolele 5kg,Rp 67.000,51,Sembako
PRD090418,Coca Cola Botol 390ml,Rp 5.000,88.0,Minuman
PRD090419,Korek Api Gas Tokai,3000,17,Lainnya
PRD090420,Obat Nyamuk Baygon Bakar, 6000 ,100,Lainnya
PRD090421,,18000,42,Pembersih
PRD090422,Saus Sambal Indofood 340ml,14500,16,Bumbu
PRD090423,Obat Nyamuk Hit Spray,35000,,Lainnya
PRD090424,Tisu Paseo 250s,18500.00,56,Lainnya
PRD090425,Susu Bear Brand,,38,Minuman
PRD090426,Garam Kapal 250g,,-53,Bumbu
PRD090427,Beras Rojolele 5kg,Rp 67000,15,Sembako
PRD090428,Le Minerale 600ml,Rp 3.500,44,Minuman
