tbl_product_id,nama_lengkap_produk,harga_jual_per_unit,jumlah_stok_tersedia,kategori_produk
PRD140044,Gula Pasir Gulaku 1kg,16000,,Sembako
PRD140045,Rokok Djarum Super,22000,57,Rokok
PRD140046,Kapur Barus Bagus,15000,3.0,Lainnya
PRD140047,Gula Curah 1kg,15000.00,25.0,Sembako
PRD140048,Indomie Kari Ayam,2800.00,1,Makanan
PRD140049,Margarin Forvita 200g,Rp 7000,-51,Sembako
PRD140050,Saus Sambal ABC 340ml,15000,9,Bumbu
PRD140051,Bumbu Racik Indofood Nasi Goreng,Rp 2500,63,Bumbu
PRD140052,Saus Sambal ABC 340ml,Rp 15.000,5.0,Bumbu
PRD140053,Indomie Goreng,Rp 3.000,80,Makanan
PRD140054,Mie Sedap Goreng,Rp 2900,73,Makanan
PRD140055,Rokok Sampoerna Mild, 30000 ,61,Rokok
PRD140056,Popok Sweety Bronze Pants L,Rp 48.000,,Perawatan Bayi
PRD140057,Gula Pasir Gulaku 1kg,16000.00,65,Sembako
PRD140058,Beras Rojolele 5kg,67000.00,12,Sembako
,Gula Pasir Gulaku 1kg,Rp 16.000,63,Sembako
PRD140060,Minyak Bimoli 2L,Rp 35.000,80,Sembako
PRD140061,Mie Sedap Goreng,,77,Makanan
PRD140062,Kecap ABC Pouch 220ml,9500,46,Bumbu
PRD140063,Kopi Luwak White Koffie,2000,80,Minuman
PRD140064,Sabun Cuci Piring Mama Lemon 400ml,9500,51,Pembersih
,,31000.00,,Rokok
PRD140066,Gula Pasir Gulaku 1kg,Rp 16.000,-58,Sembako
PRD140067,Tepung Tapioka Rose Brand 500g,8000,89,Sembako
PRD140068,Popok Sweety Bronze Pants L,48000.00,4,
PRD140069,Baterai ABC Sedang (2 pcs),10000,,Lainnya
PRD140070,,3500,,Perawatan Pribadi
PRD140071,Kecap Bango Pouch 220ml,11000,17,Bumbu
PRD140072,Indomie Kari Ayam,2800,79,Makanan
PRD140073,Sabun Mandi Dettol,Rp 5000,84,Perawatan Pribadi
PRD140074,Le Minerale 600ml, 3500 ,66,Minuman
PRD140075,Susu Bear Brand,Rp 10.500,,Minuman
PRD140076,Deterjen Rinso Anti Noda 700g,22000.00,28,Pembersih
PRD140077,Pembersih Lantai Super Pell 770ml, 13500 ,7,Pembersih
PRD140078,Susu Dancow Sachet,3500,-70,Minuman
PRD140079,Beras Ramos 5kg,65000,-55,Sembako
PRD140080,Bumbu Racik Indofood Sayur Asem,Rp 2.500,45,Bumbu
PRD140081,Sabun Nuvo Biru,Rp 3500,65,Perawatan Pribadi
PRD140082,Minyak Filma 2L, 34000 ,68,Sembako
PRD140083,Saus Sambal Indofood 340ml,Rp 14.500,95,Bumbu
PRD140084,Tisu Paseo 250s, 18500 ,0,Lainnya
PRD140085,Gula Pasir Gulaku 1kg,Rp 16.000,-12,Sembako
PRD140086,Pembalut Laurier Relax Night,,14,Perawatan Pribadi
PRD140087,Korek Api Gas Tokai,3000.00,96.0,Lainnya
PRD140088,,Rp 7.000,39,Sembako
PRD140089,Garam Refina 250g,Rp 3.500,1,Bumbu
,Kopi Luwak White Koffie,2000,81,Minuman
,Pasta Gigi Ciptadent 190g,Rp 10000,46,Perawatan Pribadi
PRD140092,Sabun Nuvo Biru,Rp 3.500,31,Perawatan Pribadi
PRD140093,Pembersih Lantai Wipol 750ml,Rp 18000,28,Pembersih
PRD140094,Indomie Kuah Soto,2800.00,57,Makanan
PRD140095,Beras Pandan Wangi 5kg,Rp 70000,,Sembako
PRD140096,Indomie Kari Ayam,Rp 2800,22,Makanan
PRD140097,Pembersih Lantai Super Pell 770ml,Rp 13500,36,
PRD140098,Susu Indomilk Sachet,1500,43,Minuman
PRD140099,Rokok Gudang Garam Filter,23000,,Rokok
PRD140100,Obat Nyamuk Hit Spray,Rp 35.000,14,Lainnya
PRD140101,Sprite Botol 390ml,5000,-28,Minuman
PRD140102,, 2800 ,24,Makanan
PRD140103,Pasta Gigi Ciptadent 190g,Rp 10.000,46,Perawatan Pribadi
PRD140104,Susu Indomilk Sachet,Rp 1500,7,Minuman
PRD140105,Tepung Terigu Segitiga Biru 1kg,13000,25,Sembako
PRD140106,Baterai Alkalin AA (2 pcs),Rp 15000,-10,Lainnya
PRD140107,Gula Curah 1kg,15000,37.0,Sembako
PRD140108,Pembalut Laurier Relax Night,20000.00,10,Perawatan Pribadi
PRD140109,Tisu Tessa 250s,Rp 17.000,8,Lainnya
PRD140110,Beras Rojolele 5kg,67000.00,56.0,Sembako
PRD140111,Pasta Gigi Pepsodent 190g,12500,74,Perawatan Pribadi
PRD140112,Kopi Kapal Api Sachet,Rp 1.500,-90,Minuman
PRD140113,Sabun Lifebuoy Merah,Rp 4000,19,Perawatan Pribadi
PRD140114,Deterjen Attack Jaz1 800g,Rp 19000,25,Pembersih
,Popok Sweety Bronze Pants L,Rp 48.000,84,Perawatan Bayi
PRD140116,Pembalut Laurier Relax Night,Rp 20000,72,Perawatan Pribadi
PRD140117,,5000,24,Minuman
PRD140118,Deterjen Daia 850g,Rp 18.500,69,Pembersih
PRD140119,Saus Sambal Indofood 340ml,14500,,Bumbu
PRD140120,Sabun Lifebuoy Merah,4000,43.0,Perawatan Pribadi
PRD140121,Sabun Cuci Piring Mama Lemon 400ml,9500,3,Pembersih
PRD140122,Kecap Bango Pouch 220ml,Rp 11.000,-6,Bumbu
PRD140123,Minyak Sania 2L, 34500 ,45,Sembako
PRD140124,Susu Indomilk Sachet,1500,,Minuman
PRD140125,Minyak Sania 2L,34500,13.0,Sembako
PRD140126,Aqua Gelas 240ml,Rp 1000,18,Minuman
PRD140127,Deterjen Rinso Anti Noda 700g,Rp 22000,,Pembersih
PRD140128,Shampo Pantene Sachet, 1500 ,48,Perawatan Pribadi
PRD140129,Indomie Goreng,3000.00,27,Makanan
PRD140130,,3500,59,Minuman
,Pembersih Lantai Wipol 750ml,18000.00,69,Pembersih
PRD140132,Deterjen Attack Jaz1 800g,19000.00,26,Pembersih
PRD140133,Sabun Lifebuoy Merah,Rp 4000,79,Perawatan Pribadi
PRD140134,Tepung Beras Rose Brand 500g,7500,56,Sembako
,Margarin Blue Band 200g,9500,77,Sembako
PRD140136,Sabun Nuvo Biru,Rp 3500,-45,Perawatan Pribadi
PRD140137,Susu Dancow Sachet, 3500 ,60,Minuman
PRD140138,Sabun Mandi Dettol,5000.00,6,Perawatan Pribadi
PRD140139,Sabun Mandi Dettol,5000,100,Perawatan Pribadi
PRD140140,Pembalut Charm Cooling Fresh, 18000 ,19,Perawatan Pribadi
PRD140141,Aqua Galon,Rp 21.000,87,Minuman
PRD140142,Kopi ABC Susu, 1500 ,54,
PRD140143,Shampo Pantene Sachet,Rp 1.500,,
PRD140144,,2000,6,Minuman
PRD140145,Shampo Sunsilk Sachet,Rp 1.500,82,Perawatan Pribadi
PRD140146,Deterjen Daia 850g,18500.00,19,Pembersih
PRD140147,Tisu Paseo 250s,18500.00,16,Lainnya
PRD140148,Pembersih Lantai Wipol 750ml,18000.00,66,Pembersih
PRD140149,Gula Pasir Gulaku 1kg, 16000 ,52,Sembako
PRD140150,Obat Nyamuk Baygon Bakar,6000,47,
PRD140151,Rokok Djarum Super,,,Rokok
PRD140152,Deterjen Attack Jaz1 800g,Rp 19.000,,Pembersih
PRD140153,Le Minerale 600ml,Rp 3500,50,Minuman
PRD140154,Gula Pasir Gulaku 1kg,16000,73,Sembako
PRD140155,Susu Frisian Flag Sachet,Rp 1500,-29,Minuman
PRD140156,Aqua Botol 600ml,3500.00,34,Minuman
PRD140157,Gula Curah 1kg,Rp 15.000,64,Sembako
PRD140158,Deterjen Daia 850g, 18500 ,46,Pembersih
PRD140159,Indomie Kuah Ayam Bawang,Rp 2800,23,Makanan
PRD140160,Susu Dancow Sachet,Rp 3.500,26,Minuman
PRD140161,Tisu Paseo 250s,Rp 18500,94,Lainnya
PRD140162,Bumbu Racik Indofood Sayur Asem,Rp 2500,15,Bumbu
PRD140163,Kopi Torabika Susu,Rp 1.500,-18,Minuman
PRD140164,Sprite Botol 390ml,5000,68,Minuman
PRD140165,Pembersih Lantai Wipol 750ml,18000,47,Pembersih
PRD140166,Sikat Gigi Formula,6000,26,Perawatan Pribadi
PRD140167,,Rp 14.500,88,Bumbu
PRD140168,Popok Sweety Bronze Pants L,Rp 48.000,92.0,Perawatan Bayi
PRD140169,Sabun Nuvo Biru,Rp 3500,15,Perawatan Pribadi
PRD140170,Aqua Botol 600ml,Rp 3.500,1.0,Minuman
PRD140171,Beras Pandan Wangi 5kg, 70000 ,-30,Sembako
PRD140172,,3500,17,Bumbu
PRD140173,Shampo Clear Sachet,Rp 1500,20,Perawatan Pribadi
PRD140174,Margarin Forvita 200g,7000.00,64,Sembako
,Deterjen Rinso Anti Noda 700g,22000.00,100,Pembersih
,Shampo Lifebuoy Sachet, 1000 ,82,Perawatan Pribadi
PRD140177,Sikat Gigi Formula,6000,-69,Perawatan Pribadi
PRD140178,Beras Rojolele 5kg,67000,52,Sembako
PRD140179,Pembalut Charm Cooling Fresh,18000,87,Perawatan Pribadi
PRD140180,Pembalut Laurier Relax Night,Rp 20000,11.0,Perawatan Pribadi
PRD140181,Beras Pandan Wangi 5kg, 70000 ,61,Sembako
PRD140182,Aqua Gelas 240ml,1000.00,,Minuman
PRD140183,Garam Kapal 250g,3000.00,64,Bumbu
PRD140184,Kopi Luwak White Koffie,2000,42,Minuman
PRD140185,Rokok Surya 16,Rp 31000,72,Rokok
PRD140186,Le Minerale 600ml,3500,-2,Minuman
,Pembersih Lantai Wipol 750ml,Rp 18.000,11,Pembersih
PRD140188,Susu Indomilk Sachet,Rp 1500,99,Minuman
,Obat Nyamuk Hit Spray,35000,27,Lainnya
PRD140190,Sabun Lux Mawar,4500,,Perawatan Pribadi
PRD140191,,2000.00,,
PRD140192,Sprite Botol 390ml,Rp 5000,-52,Minuman
PRD140193,Teh Pucuk Harum 350ml,4000,78,Minuman
PRD140194,,,36.0,Makanan
PRD140195,Fanta Merah 390ml,5000.00,45,Minuman
PRD140196,Rokok Gudang Garam Filter, 23000 ,37,Rokok
PRD140197,Indomie Kuah Soto,2800.00,-75,Makanan
PRD140198,Coca Cola Botol 390ml, 5000 ,24,Minuman
PRD140199,Kopi Kapal Api Sachet, 1500 ,14,Minuman
PRD140200,Susu Dancow Sachet,Rp 3500,75,Minuman
PRD140201,Kapur Barus Bagus,Rp 15000,7,Lainnya
PRD140202,Aqua Botol 600ml,Rp 3500,84.0,Minuman
PRD140203,Teh Sariwangi Celup,Rp 6500,52,Minuman
PRD140204,Kopi ABC Susu,1500.00,42.0,Minuman
PRD140205,Beras Pandan Wangi 5kg,70000,27,Sembako
PRD140206,Teh Sariwangi Celup,6500.00,50,Minuman
PRD140207,Aqua Botol 600ml,3500.00,26,Minuman
PRD140208,Garam Kapal 250g,3000.00,12,Bumbu
PRD140209,Kopi Luwak White Koffie,2000.00,86,Minuman
PRD140210,, 1500 ,,Minuman
PRD140211,Deterjen Rinso Anti Noda 700g,Rp 22.000,-93,Pembersih
PRD140212,Saus Sambal ABC 340ml,Rp 15.000,41,Bumbu
PRD140213,Saus Sambal Indofood 340ml,14500.00,4,Bumbu
PRD140214,Shampo Clear Sachet,Rp 1.500,-71,Perawatan Pribadi
PRD140215,Coca Cola Botol 390ml,5000,-72,Minuman
PRD140216,Aqua Galon,21000,1,Minuman
PRD140217,Kopi Luwak White Koffie,2000,12.0,Minuman
PRD140218,Tepung Tapioka Rose Brand 500g,Rp 8000,,Sembako
PRD140219,Sabun Nuvo Biru,Rp 3500,5,Perawatan Pribadi
PRD140220,Rokok Gudang Garam Filter,23000.00,5,Rokok
PRD140221,Shampo Pantene Sachet,1500.00,52,Perawatan Pribadi
PRD140222,Deterjen Rinso Anti Noda 700g,,59,Pembersih
PRD140223,,13500,38,Pembersih
,Rokok Gudang Garam Filter,,79,Rokok
PRD140225,Sprite Botol 390ml,Rp 5.000,2,
PRD140226,Shampo Clear Sachet,Rp 1500,-96,Perawatan Pribadi
PRD140227,Teh Pucuk Harum 350ml,,60,Minuman
PRD140228,Susu Dancow Sachet,Rp 3.500,75,Minuman
PRD140229,Margarin Blue Band 200g,Rp 9.500,25,Sembako
PRD140230,Sikat Gigi Formula,Rp 6.000,36.0,Perawatan Pribadi
PRD140231,Kopi Torabika Susu,1500.00,49,Minuman
PRD140232,Minyak Sania 2L,34500,-71,Sembako
PRD140233,Tisu Tessa 250s,Rp 17000,63,Lainnya
PRD140234,Minyak Filma 2L,34000,76,Sembako
PRD140235,Deterjen Attack Jaz1 800g,19000.00,68,Pembersih
PRD140236,Minyak Sania 2L,Rp 34.500,97,Sembako
,Popok MamyPoko Pants M,55000,17,Perawatan Bayi
PRD140238,Baterai Alkalin AA (2 pcs),Rp 15000,18,Lainnya
PRD140239,Teh Sariwangi Celup,Rp 6500,3,Minuman
PRD140240,Kapur Barus Bagus,Rp 15.000,71,Lainnya
PRD140241,Susu Indomilk Sachet,1500,88,Minuman
PRD140242,Bumbu Racik Indofood Sayur Asem,Rp 2500,64,Bumbu
PRD140243,Minyak Bimoli 2L,Rp 35000,35,Sembako
PRD140244,Popok Sweety Bronze Pants L,Rp 48000,16,
PRD140245,Rokok Sampoerna Mild,30000,37,Rokok
PRD140246,Kopi ABC Susu,Rp 1500,82,Minuman
PRD140247,Minyak Curah 1L,16000.00,29,Sembako
PRD140248,Shampo Pantene Sachet,1500,-43,Perawatan Pribadi
PRD140249,Indomie Goreng,3000.00,-95,Makanan
PRD140250,Pasta Gigi Ciptadent 190g,10000,86,Perawatan Pribadi
,Deterjen Rinso Anti Noda 700g,Rp 22000,32,Pembersih
PRD140252,Kecap Bango Pouch 220ml,11000,33,
,Garam Kapal 250g,3000,66,Bumbu
PRD140254,Minyak Bimoli 2L,35000.00,31,Sembako
PRD140255,Obat Nyamuk Hit Spray, 35000 ,21,Lainnya
PRD140256,Garam Refina 250g, 3500 ,,Bumbu
PRD140257,Bumbu Racik Indofood Sayur Asem,Rp 2500,95,Bumbu
PRD140258,Tisu Paseo 250s,18500,15,Lainnya
PRD140259,Tepung Tapioka Rose Brand 500g,Rp 8000,86.0,Sembako
PRD140260,Shampo Clear Sachet,Rp 1.500,50,Perawatan Pribadi
PRD140261,Pembersih Lantai Wipol 750ml,18000.00,56,Pembersih
PRD140262,Shampo Clear Sachet,Rp 1.500,26,Perawatan Pribadi
PRD140263,Sabun Cuci Piring Sunlight 460ml,11000,75,Pembersih
PRD140264,Sabun Cuci Piring Mama Lemon 400ml,Rp 9500,27,Pembersih
PRD140265,Popok Sweety Bronze Pants L, 48000 ,90,Perawatan Bayi
PRD140266,Minyak Sania 2L,Rp 34.500,41,Sembako
PRD140267,Susu Indomilk Sachet,1500.00,37,Minuman
PRD140268,Kecap Bango Pouch 220ml,11000,16,Bumbu
PRD140269,Mie Sedap Goreng,2900.00,68,Makanan
PRD140270,Bumbu Racik Indofood Sayur Asem,,53,
PRD140271,Pembalut Charm Cooling Fresh,Rp 18.000,2,Perawatan Pribadi
PRD140272,Rokok Djarum Super,22000,45,Rokok
PRD140273,Susu Dancow Sachet,Rp 3500,84,Minuman
PRD140274,Kopi Torabika Susu,Rp 1500,82,Minuman
PRD140275,Tepung Terigu Segitiga Biru 1kg,Rp 13.000,64,Sembako
PRD140276,Deterjen Rinso Anti Noda 700g,Rp 22.000,51,Pembersih
PRD140277,Minyak Sania 2L,34500,26,Sembako
PRD140278,Sabun Lux Mawar, 4500 ,74,Perawatan Pribadi
PRD140279,Tisu Paseo 250s,18500,19.0,
PRD140280,Popok MamyPoko Pants M,Rp 55.000,19,Perawatan Bayi
PRD140281,Kopi Kapal Api Sachet,1500,52,Minuman
PRD140282,Kecap ABC Pouch 220ml,Rp 9.500,-68,Bumbu
PRD140283,Baterai Alkalin AA (2 pcs),15000,20,Lainnya
PRD140284,Indomie Goreng,Rp 3.000,14,Makanan
PRD140285,Margarin Forvita 200g,Rp 7000,-85,Sembako
PRD140286,Beras Rojolele 5kg,67000,17,Sembako
PRD140287,Pasta Gigi Ciptadent 190g,Rp 10000,17,Perawatan Pribadi
PRD140288,Teh Pucuk Harum 350ml, 4000 ,24,Minuman
,Coca Cola Botol 390ml,Rp 5000,27,Minuman
PRD140290,Teh Sariwangi Celup,6500,39,Minuman
PRD140291,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,33,Pembersih
PRD140292,Rokok Marlboro Merah,Rp 38.000,47,Rokok
PRD140293,Korek Api Gas Tokai,Rp 3.000,49,Lainnya
PRD140294,Bumbu Racik Indofood Sayur Asem,2500.00,60,Bumbu
,Teh Sariwangi Celup,6500.00,55,Minuman
PRD140296,Garam Kapal 250g,Rp 3000,81.0,Bumbu
PRD140297,Popok MamyPoko Pants M, 55000 ,40,Perawatan Bayi
PRD140298,Susu Bear Brand,10500.00,38,Minuman
,Kecap Bango Pouch 220ml,11000.00,15,Bumbu
PRD140300,Baterai ABC Sedang (2 pcs),10000.00,94,Lainnya
PRD140301,Kecap ABC Pouch 220ml,Rp 9500,24,Bumbu
PRD140302,Kopi Luwak White Koffie,Rp 2.000,23.0,Minuman
,Le Minerale 600ml,,,Minuman
PRD140304,Baterai Alkalin AA (2 pcs),15000.00,,Lainnya
PRD140305,Gula Pasir Gulaku 1kg,16000.00,55,Sembako
PRD140306,Baterai ABC Sedang (2 pcs),10000.00,31,Lainnya
PRD140307,Sabun Mandi Dettol,Rp 5.000,69,
PRD140308,Baterai ABC Sedang (2 pcs),10000.00,0,Lainnya
PRD140309,Pembalut Charm Cooling Fresh,18000,98,Perawatan Pribadi
PRD140310,Minyak Filma 2L,34000.00,83.0,Sembako
PRD140311,Le Minerale 600ml,3500,82,Minuman
PRD140312,Indomie Kuah Ayam Bawang,Rp 2800,99,Makanan
PRD140313,Saus Sambal Indofood 340ml,14500.00,24,Bumbu
PRD140314,,Rp 35000,53,Sembako
PRD140315,Mie Sedap Goreng,2900,58,Makanan
PRD140316,Deterjen Rinso Anti Noda 700g,Rp 22.000,75,Pembersih
PRD140317,Bumbu Racik Indofood Sayur Asem,2500.00,96,Bumbu
PRD140318,Korek Api Gas Tokai, 3000 ,-12,Lainnya
PRD140319,Margarin Blue Band 200g,9500.00,47.0,Sembako
PRD140320,Minyak Filma 2L,34000,79,Sembako
PRD140321,Indomie Kari Ayam,2800,92,Makanan
PRD140322,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,,Pembersih
PRD140323,Susu Dancow Sachet,Rp 3.500,96,Minuman
PRD140324,,9500,72,Sembako
PRD140325,Susu Frisian Flag Sachet, 1500 ,91,Minuman
PRD140326,Margarin Blue Band 200g,Rp 9.500,17,Sembako
PRD140327,Kopi ABC Susu, 1500 ,58,Minuman
PRD140328,Popok MamyPoko Pants M,55000,53,Perawatan Bayi
PRD140329,Beras Rojolele 5kg,,81,Sembako
PRD140330,Minyak Sania 2L,34500,70,Sembako
PRD140331,Beras Rojolele 5kg,67000,79,Sembako
PRD140332,,15000,,Lainnya
PRD140333,Mie Sedap Goreng,2900.00,70.0,Makanan
PRD140334,Shampo Clear Sachet,,10,Perawatan Pribadi
PRD140335,Obat Nyamuk Baygon Bakar,Rp 6000,-50,Lainnya
PRD140336,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,2,Pembersih
PRD140337,Sabun Lux Mawar,4500.00,35,Perawatan Pribadi
PRD140338,Pasta Gigi Ciptadent 190g,Rp 10000,12,Perawatan Pribadi
PRD140339,Gula Curah 1kg,Rp 15.000,55,Sembako
PRD140340,Susu Frisian Flag Sachet,Rp 1500,70,Minuman
PRD140341,Baterai Alkalin AA (2 pcs),Rp 15000,31,Lainnya
PRD140342,Susu Bear Brand,10500,4,Minuman
PRD140343,Fanta Merah 390ml,5000,84,Minuman
PRD140344,Gula Curah 1kg,15000.00,97,Sembako
PRD140345,Rokok Gudang Garam Filter,,47,Rokok
,Teh Celup Sosro,7000.00,33,Minuman
PRD140347,Kopi Torabika Susu,Rp 1500,84,Minuman
PRD140348,Minyak Curah 1L,16000,28,Sembako
PRD140349,Beras Rojolele 5kg,Rp 67.000,36,Sembako
PRD140350,Kopi Torabika Susu,Rp 1500,-50,Minuman
PRD140351,Beras Ramos 5kg,65000,35,Sembako
PRD140352,Teh Celup Sosro,7000,35,
PRD140353,Pembersih Lantai Super Pell 770ml,13500,82,Pembersih
PRD140354,Bumbu Racik Indofood Nasi Goreng,2500,,Bumbu
PRD140355,Margarin Blue Band 200g,Rp 9500,93,Sembako
PRD140356,Minyak Sania 2L,Rp 34500,75,Sembako
PRD140357,Teh Sariwangi Celup,6500.00,76,
PRD140358,Beras Ramos 5kg,Rp 65.000,3,Sembako
PRD140359,Pembersih Lantai Super Pell 770ml,13500,58,Pembersih
PRD140360,Pembersih Lantai Wipol 750ml, 18000 ,32,Pembersih
PRD140361,Pembalut Laurier Relax Night,Rp 20000,17,Perawatan Pribadi
PRD140362,,Rp 6.000,,Lainnya
PRD140363,Sabun Nuvo Biru,3500.00,-53,Perawatan Pribadi
PRD140364,Aqua Botol 600ml,3500,72,Minuman
PRD140365,Sabun Mandi Dettol,5000.00,54,Perawatan Pribadi
PRD140366,Tisu Paseo 250s,18500,44,Lainnya
PRD140367,Kecap Bango Pouch 220ml,11000.00,48,Bumbu
PRD140368,Gula Pasir Gulaku 1kg,16000.00,71,Sembako
PRD140369,Tepung Beras Rose Brand 500g,Rp 7.500,93,Sembako
PRD140370,Kopi Torabika Susu, 1500 ,-15,Minuman
PRD140371,Minyak Curah 1L,16000,,Sembako
PRD140372,Aqua Botol 600ml, 3500 ,53,
PRD140373,Saus Sambal Indofood 340ml,14500,22.0,Bumbu
PRD140374,Sabun Lux Mawar,4500.00,95,Perawatan Pribadi
PRD140375,Minyak Curah 1L,16000,27.0,Sembako
,Kopi Luwak White Koffie,2000.00,-50,Minuman
PRD140377,Minyak Filma 2L,34000.00,73,Sembako
PRD140378,Le Minerale 600ml,Rp 3.500,47.0,
PRD140379,Korek Api Gas Tokai,Rp 3.000,83,Lainnya
PRD140380,Baterai ABC Sedang (2 pcs), 10000 ,7,Lainnya
PRD140381,Minyak Curah 1L, 16000 ,13,Sembako
PRD140382,Pasta Gigi Pepsodent 190g,Rp 12.500,61,Perawatan Pribadi
PRD140383,Korek Api Gas Tokai,3000.00,79,Lainnya
PRD140384,Rokok Sampoerna Mild,Rp 30.000,59,Rokok
PRD140385,Kecap Bango Pouch 220ml,Rp 11.000,33,Bumbu
PRD140386,,Rp 23.000,52,Rokok
PRD140387,Susu Bear Brand,Rp 10.500,56,Minuman
PRD140388,Susu Dancow Sachet,3500.00,16,Minuman
,Pembalut Charm Cooling Fresh,18000.00,-61,Perawatan Pribadi
PRD140390,Tepung Tapioka Rose Brand 500g,8000,2,Sembako
PRD140391,Teh Celup Sosro,,6,
PRD140392,Deterjen Daia 850g,Rp 18.500,53,
PRD140393,Mie Sedap Goreng,2900.00,64,Makanan
PRD140394,Minyak Filma 2L,34000.00,99,Sembako
PRD140395,Tepung Terigu Segitiga Biru 1kg, 13000 ,71,Sembako
PRD140396,Aqua Gelas 240ml,1000.00,97,Minuman
PRD140397,Indomie Goreng,3000,86,Makanan
PRD140398,Gula Pasir Gulaku 1kg,Rp 16.000,71,Sembako
PRD140399,Gula Pasir Gulaku 1kg,Rp 16.000,23,Sembako
PRD140400,Sikat Gigi Formula, 6000 ,99,Perawatan Pribadi
PRD140401,Pasta Gigi Ciptadent 190g,10000.00,16,Perawatan Pribadi
PRD140402,,1500,5,Minuman
PRD140403,Kopi Nescafe Classic,5000,1,Minuman
PRD140404,Tisu Tessa 250s,17000,87.0,Lainnya
PRD140405,Tisu Paseo 250s,18500,32,Lainnya
PRD140406,Kopi Luwak White Koffie,2000,29,Minuman
PRD140407,Baterai ABC Sedang (2 pcs),10000,81,Lainnya
PRD140408,Popok Sweety Bronze Pants L,48000,84,Perawatan Bayi
,Shampo Clear Sachet,1500.00,60,Perawatan Pribadi
PRD140410,Bumbu Racik Indofood Sayur Asem,Rp 2.500,30,Bumbu
PRD140411,Susu Bear Brand,10500,,Minuman
PRD140412,Obat Nyamuk Baygon Bakar,6000.00,83,Lainnya
PRD140413,Pembalut Laurier Relax Night,20000,63,
PRD140414,Indomie Kuah Ayam Bawang,Rp 2800,52,Makanan
PRD140415,Korek Api Gas Tokai,Rp 3000,25,Lainnya
PRD140416,Sabun Mandi Dettol, 5000 ,81.0,Perawatan Pribadi
,Pasta Gigi Pepsodent 190g,,,Perawatan Pribadi
PRD140418,Obat Nyamuk Baygon Bakar,Rp 6.000,9,Lainnya
PRD140419,Pasta Gigi Pepsodent 190g,Rp 12.500,2.0,Perawatan Pribadi
PRD140420,Shampo Clear Sachet,1500,14,Perawatan Pribadi
PRD140421,Bumbu Racik Indofood Nasi Goreng,2500,,Bumbu
PRD140422,Sabun Lux Mawar,4500,13,Perawatan Pribadi
PRD140423,Minyak Filma 2L,34000,93.0,Sembako
PRD140424,Aqua Gelas 240ml,Rp 1.000,8,Minuman
