kode_barang,nama_produk,harga_jual,jumlah_stok,kategori
PRD060066,Tisu Paseo 250s,Rp 18500,71,Lainnya
PRD060067,Gula Curah 1kg,Rp 15000,59.0,Sembako
PRD060068,Indomie Kari Ayam,Rp 2.800,19,Makanan
PRD060069,Fanta Merah 390ml,Rp 5000,97,Minuman
PRD060070,Garam Kapal 250g,3000,96,Bumbu
PRD060071,Beras Pandan Wangi 5kg,70000,-89,Sembako
PRD060072,Deterjen Daia 850g,Rp 18500,72,Pembersih
PRD060073,Sabun Nuvo Biru,Rp 3500,81,Perawatan Pribadi
PRD060074,Saus Sambal ABC 340ml,Rp 15000,34,Bumbu
PRD060075,,16000,5,Sembako
PRD060076,Bumbu Racik Indofood Nasi Goreng,Rp 2500,72,Bumbu
PRD060077,Minyak Bimoli 2L,35000,37,Sembako
PRD060078,Sikat Gigi Formula,,17,Perawatan Pribadi
PRD060079,,,70.0,
PRD060080,Kopi ABC Susu,1500,,Minuman
PRD060081,Teh Celup Sosro,Rp 7000,67,Minuman
PRD060082,Sabun Cuci Piring Mama Lemon 400ml, 9500 ,6,Pembersih
PRD060083,Rokok Djarum Super,Rp 22000,6,Rokok
PRD060084,,2900,83,Makanan
PRD060085,Tepung Terigu Segitiga Biru 1kg,Rp 13000,58,
PRD060086,Beras Pandan Wangi 5kg,70000.00,78,
PRD060087,Garam Refina 250g,Rp 3500,43,Bumbu
PRD060088,Sabun Cuci Piring Mama Lemon 400ml,Rp 9.500,81,Pembersih
PRD060089,Popok Sweety Bronze Pants L,Rp 48000,64,Perawatan Bayi
PRD060090,Popok MamyPoko Pants M, 55000 ,59,Perawatan Bayi
PRD060091,Rokok Gudang Garam Filter, 23000 ,10,Rokok
PRD060092,Shampo Clear Sachet,1500,99,Perawatan Pribadi
PRD060093,Tisu Paseo 250s,18500,52,Lainnya
,Baterai Alkalin AA (2 pcs), 15000 ,48,Lainnya
PRD060095,Kopi Kapal Api Sachet,Rp 1.500,76,Minuman
PRD060096,Sprite Botol 390ml,5000,44,Minuman
PRD060097,Beras Ramos 5kg,65000.00,58,Sembako
PRD060098,Sprite Botol 390ml,,94,Minuman
PRD060099,Rokok Gudang Garam Filter, 23000 ,83,Rokok
PRD060100,Obat Nyamuk Baygon Bakar,6000.00,88,Lainnya
PRD060101,Kecap ABC Pouch 220ml,Rp 9.500,95,Bumbu
PRD060102,,15000,95,Bumbu
PRD060103,Rokok Surya 16,Rp 31000,100,Rokok
PRD060104,Rokok Sampoerna Mild,Rp 30000,80,Rokok
PRD060105,Bumbu Racik Indofood Sayur Asem,Rp 2500,52,Bumbu
PRD060106,Rokok Gudang Garam Filter,23000.00,53,Rokok
PRD060107,Sabun Lux Mawar,4500.00,-85,Perawatan Pribadi
PRD060108,Sabun Lifebuoy Merah,4000,49,Perawatan Pribadi
PRD060109,Baterai Alkalin AA (2 pcs),15000.00,6,Lainnya
PRD060110,Minyak Curah 1L,16000,93,Sembako
PRD060111,Margarin Blue Band 200g,9500,56,Sembako
PRD060112,Susu Bear Brand,Rp 10.500,-24,Minuman
PRD060113,Kopi Kapal Api Sachet, 1500 ,-61,
PRD060114,,30000.00,25,Rokok
PRD060115,Minyak Filma 2L,,50.0,Sembako
PRD060116,Susu Frisian Flag Sachet,1500,57,Minuman
PRD060117,Aqua Gelas 240ml, 1000 ,-73,Minuman
PRD060118,Susu Bear Brand,10500.00,89,Minuman
PRD060119,Pembalut Laurier Relax Night, 20000 ,-98,Perawatan Pribadi
PRD060120,Aqua Gelas 240ml,Rp 1000,29,Minuman
PRD060121,Kopi Nescafe Classic,Rp 5000,92,Minuman
PRD060122,Sabun Lux Mawar,Rp 4500,-45,Perawatan Pribadi
PRD060123,Sabun Lifebuoy Merah,,41,Perawatan Pribadi
PRD060124,Tepung Tapioka Rose Brand 500g,8000,,Sembako
PRD060125,Shampo Clear Sachet, 1500 ,1,Perawatan Pribadi
PRD060126,Obat Nyamuk Baygon Bakar,6000,85,Lainnya
PRD060127,Margarin Blue Band 200g,Rp 9.500,81.0,Sembako
PRD060128,Shampo Lifebuoy Sachet,Rp 1.000,-39,
PRD060129,,22000,57,Rokok
PRD060130,Shampo Sunsilk Sachet, 1500 ,26,Perawatan Pribadi
PRD060131,Indomie Kari Ayam,Rp 2800,94,Makanan
PRD060132,Teh Pucuk Harum 350ml, 4000 ,44,Minuman
PRD060133,Margarin Blue Band 200g,9500.00,12,Sembako
PRD060134,Garam Kapal 250g,,66,Bumbu
PRD060135,Sabun Mandi Dettol,Rp 5000,89,Perawatan Pribadi
PRD060136,Susu Dancow Sachet,3500,0,Minuman
PRD060137,Rokok Sampoerna Mild,Rp 30000,-62,Rokok
PRD060138,Shampo Clear Sachet,1500,97,Perawatan Pribadi
PRD060139,Shampo Pantene Sachet,1500,98,Perawatan Pribadi
PRD060140,Pasta Gigi Pepsodent 190g,12500,46,Perawatan Pribadi
PRD060141,Teh Sariwangi Celup,6500,100.0,Minuman
PRD060142,Shampo Clear Sachet,,91.0,Perawatan Pribadi
PRD060143,Teh Sariwangi Celup,6500,35,Minuman
PRD060144,,Rp 13500,65,Pembersih
PRD060145,Gula Pasir Gulaku 1kg,16000.00,42,Sembako
PRD060146,Minyak Bimoli 2L,35000,11,Sembako
PRD060147,Aqua Galon,Rp 21000,17,Minuman
PRD060148,Popok Sweety Bronze Pants L,Rp 48000,94,Perawatan Bayi
PRD060149,Teh Celup Sosro,,53,Minuman
PRD060150,Susu Frisian Flag Sachet,Rp 1500,98,Minuman
PRD060151,Teh Sariwangi Celup,6500,-86,Minuman
PRD060152,Indomie Kuah Soto,2800.00,33,
PRD060153,Teh Sariwangi Celup,6500,100,Minuman
PRD060154,Indomie Kuah Soto,Rp 2.800,57,Makanan
PRD060155,Kopi ABC Susu,Rp 1.500,-62,Minuman
PRD060156,Kecap Bango Pouch 220ml, 11000 ,,Bumbu
PRD060157,Beras Ramos 5kg,65000,66,Sembako
PRD060158,Kapur Barus Bagus,15000,19,Lainnya
PRD060159,,14500,32,Bumbu
PRD060160,Minyak Filma 2L,Rp 34.000,26,Sembako
,Sabun Lifebuoy Merah, 4000 ,84,Perawatan Pribadi
PRD060162,Minyak Sania 2L, 34500 ,83,Sembako
PRD060163,Pasta Gigi Ciptadent 190g,Rp 10.000,49,Perawatan Pribadi
PRD060164,Pembalut Laurier Relax Night,20000,98,Perawatan Pribadi
PRD060165,Indomie Kuah Ayam Bawang, 2800 ,9,Makanan
PRD060166,Sabun Cuci Piring Sunlight 460ml,Rp 11000,-58,Pembersih
PRD060167,Indomie Kuah Ayam Bawang,Rp 2.800,95,Makanan
PRD060168,Popok Sweety Bronze Pants L,Rp 48000,14,Perawatan Bayi
PRD060169,Bumbu Racik Indofood Nasi Goreng, 2500 ,28,Bumbu
PRD060170,Indomie Kuah Soto,Rp 2800,,Makanan
PRD060171,Indomie Kuah Ayam Bawang, 2800 ,55,Makanan
PRD060172,Rokok Marlboro Merah,38000.00,14,Rokok
PRD060173,Korek Api Gas Tokai,3000,2,Lainnya
,Pasta Gigi Pepsodent 190g,Rp 12500,,Perawatan Pribadi
,Mie Sedap Goreng,2900,6,Makanan
PRD060176,Tepung Tapioka Rose Brand 500g,Rp 8.000,7,Sembako
PRD060177,Indomie Kari Ayam, 2800 ,-50,Makanan
PRD060178,Shampo Clear Sachet, 1500 ,61,Perawatan Pribadi
PRD060179,Susu Dancow Sachet,3500,55,Minuman
PRD060180,Kopi Torabika Susu,Rp 1500,65,Minuman
PRD060181,Pembalut Charm Cooling Fresh,Rp 18000,73,Perawatan Pribadi
PRD060182,Saus Sambal Indofood 340ml,14500,13,
PRD060183,Susu Dancow Sachet, 3500 ,35.0,Minuman
PRD060184,Tisu Tessa 250s,,8,Lainnya
PRD060185,Aqua Galon, 21000 ,8,Minuman
PRD060186,Shampo Sunsilk Sachet,1500,98,Perawatan Pribadi
PRD060187,Sabun Nuvo Biru,3500.00,74,Perawatan Pribadi
PRD060188,Le Minerale 600ml,Rp 3500,48,Minuman
PRD060189,Rokok Gudang Garam Filter,23000,67,Rokok
PRD060190,Sabun Cuci Piring Mama Lemon 400ml,Rp 9.500,48,Pembersih
PRD060191,Sabun Nuvo Biru, 3500 ,86,Perawatan Pribadi
PRD060192,Fanta Merah 390ml,5000.00,89,Minuman
PRD060193,Pembalut Laurier Relax Night,20000.00,90.0,Perawatan Pribadi
PRD060194,Popok MamyPoko Pants M,Rp 55000,94,Perawatan Bayi
PRD060195,Baterai ABC Sedang (2 pcs),Rp 10000,11,Lainnya
PRD060196,Sabun Lifebuoy Merah,Rp 4000,45,Perawatan Pribadi
PRD060197,Rokok Gudang Garam Filter,Rp 23.000,34,Rokok
PRD060198,Minyak Curah 1L, 16000 ,68,Sembako
PRD060199,Kapur Barus Bagus,15000,51,Lainnya
PRD060200,Minyak Filma 2L,34000,17,Sembako
PRD060201,Pembalut Charm Cooling Fresh,18000.00,-95,Perawatan Pribadi
PRD060202,Pembalut Charm Cooling Fresh,18000,65,Perawatan Pribadi
PRD060203,Susu Bear Brand,Rp 10500,56.0,Minuman
PRD060204,Teh Pucuk Harum 350ml,Rp 4.000,-24,Minuman
PRD060205,Rokok Marlboro Merah,Rp 38000,72,Rokok
PRD060206,Obat Nyamuk Hit Spray,35000.00,10,Lainnya
PRD060207,Tepung Tapioka Rose Brand 500g,Rp 8000,-14,Sembako
PRD060208,Tisu Tessa 250s,17000,56,Lainnya
PRD060209,Rokok Surya 16,31000.00,37,Rokok
PRD060210,Sabun Lifebuoy Merah,Rp 4000,93,Perawatan Pribadi
PRD060211,Garam Refina 250g,3500,65,Bumbu
PRD060212,Garam Refina 250g,Rp 3500,99,
,Garam Kapal 250g,3000,14,Bumbu
PRD060214,Shampo Pantene Sachet,1500.00,55,
PRD060215,Tepung Beras Rose Brand 500g,Rp 7500,11,Sembako
PRD060216,Susu Frisian Flag Sachet,1500,73,
PRD060217,Pasta Gigi Pepsodent 190g,12500,-75,
PRD060218,Rokok Marlboro Merah,38000,-8,Rokok
PRD060219,Gula Pasir Gulaku 1kg,16000,59,Sembako
PRD060220,Pasta Gigi Pepsodent 190g,Rp 12.500,74,Perawatan Pribadi
PRD060221,Gula Pasir Gulaku 1kg,16000,99,Sembako
PRD060222,Rokok Gudang Garam Filter,23000,39,Rokok
PRD060223,Teh Sariwangi Celup,Rp 6.500,95.0,Minuman
PRD060224,Margarin Forvita 200g,7000,83,Sembako
PRD060225,Minyak Sania 2L,Rp 34.500,-4,Sembako
PRD060226,Sikat Gigi Formula,Rp 6000,67,Perawatan Pribadi
PRD060227,Sabun Cuci Piring Sunlight 460ml,,71,Pembersih
PRD060228,Rokok Djarum Super,Rp 22.000,-59,Rokok
PRD060229,Pembersih Lantai Wipol 750ml,18000,21,Pembersih
PRD060230,Kopi ABC Susu,1500.00,100,Minuman
PRD060231,Tisu Paseo 250s,Rp 18500,4,Lainnya
PRD060232,Kopi Torabika Susu,1500,12,Minuman
PRD060233,Pasta Gigi Ciptadent 190g,10000,25,Perawatan Pribadi
PRD060234,Bumbu Racik Indofood Sayur Asem,Rp 2500,79.0,Bumbu
PRD060235,Teh Pucuk Harum 350ml,4000,75,Minuman
PRD060236,Susu Frisian Flag Sachet,1500,21.0,Minuman
PRD060237,Pembersih Lantai Wipol 750ml,18000.00,1,Pembersih
PRD060238,Gula Pasir Gulaku 1kg, 16000 ,99,Sembako
PRD060239,Beras Rojolele 5kg,Rp 67.000,6,Sembako
PRD060240,Susu Bear Brand,10500,15,Minuman
PRD060241,Indomie Goreng,Rp 3.000,32,Makanan
PRD060242,Pasta Gigi Pepsodent 190g,12500.00,47,
PRD060243,,Rp 1.000,-21,Minuman
PRD060244,Sabun Cuci Piring Mama Lemon 400ml,9500.00,56,Pembersih
PRD060245,Kopi Torabika Susu,1500.00,34,
PRD060246,Deterjen Rinso Anti Noda 700g,22000,-62,Pembersih
PRD060247,Teh Celup Sosro,7000,49,Minuman
PRD060248,Kecap ABC Pouch 220ml,Rp 9500,5,Bumbu
PRD060249,Deterjen Attack Jaz1 800g,,93,Pembersih
PRD060250,Sabun Cuci Piring Mama Lemon 400ml,9500,22,Pembersih
PRD060251,Rokok Gudang Garam Filter,,73,Rokok
PRD060252,Deterjen Rinso Anti Noda 700g, 22000 ,44,Pembersih
PRD060253,Gula Pasir Gulaku 1kg,Rp 16000,52,Sembako
PRD060254,Sikat Gigi Formula,Rp 6.000,29,Perawatan Pribadi
PRD060255,Popok MamyPoko Pants M,55000.00,,Perawatan Bayi
PRD060256,Tisu Tessa 250s,Rp 17000,,Lainnya
PRD060257,Kopi Kapal Api Sachet,1500.00,91,Minuman
,Teh Sariwangi Celup, 6500 ,35,Minuman
PRD060259,Gula Curah 1kg,15000.00,83,Sembako
PRD060260,Sabun Lifebuoy Merah,Rp 4.000,72,Perawatan Pribadi
PRD060261,Teh Celup Sosro,7000.00,30.0,Minuman
PRD060262,Kopi ABC Susu,Rp 1.500,26,Minuman
PRD060263,Fanta Merah 390ml,5000.00,31,Minuman
PRD060264,Indomie Kuah Soto,,50,Makanan
PRD060265,Susu Dancow Sachet,Rp 3.500,64,Minuman
PRD060266,Aqua Gelas 240ml,1000,70,Minuman
PRD060267,Gula Curah 1kg,Rp 15.000,-61,Sembako
PRD060268,Pembalut Charm Cooling Fresh,Rp 18.000,12,Perawatan Pribadi
PRD060269,Teh Sariwangi Celup,6500.00,41,Minuman
PRD060270,Susu Bear Brand,10500,36,Minuman
PRD060271,Kopi Torabika Susu,1500,70,Minuman
PRD060272,Rokok Sampoerna Mild,Rp 30000,98,Rokok
PRD060273,Susu Bear Brand,Rp 10.500,95.0,Minuman
PRD060274,Pembalut Charm Cooling Fresh, 18000 ,29,Perawatan Pribadi
PRD060275,Baterai ABC Sedang (2 pcs),10000,0,Lainnya
PRD060276,Teh Celup Sosro,7000.00,-64,Minuman
PRD060277,Tisu Paseo 250s,18500.00,95,Lainnya
PRD060278,Mie Sedap Goreng,Rp 2.900,74,
PRD060279,Shampo Lifebuoy Sachet,Rp 1000,54,Perawatan Pribadi
PRD060280,Margarin Blue Band 200g,9500,14,Sembako
PRD060281,Kecap Bango Pouch 220ml,Rp 11.000,31,Bumbu
PRD060282,,Rp 18.000,-70,Pembersih
PRD060283,Popok Sweety Bronze Pants L,Rp 48.000,79,Perawatan Bayi
PRD060284,Deterjen Attack Jaz1 800g,19000,64,Pembersih
PRD060285,Tepung Tapioka Rose Brand 500g,Rp 8000,-77,Sembako
PRD060286,Baterai Alkalin AA (2 pcs),15000,42,Lainnya
PRD060287,Minyak Filma 2L,Rp 34000,12,Sembako
PRD060288,Beras Pandan Wangi 5kg,Rp 70.000,61,Sembako
PRD060289,Kopi Torabika Susu, 1500 ,96,Minuman
PRD060290,Deterjen Daia 850g,Rp 18500,,Pembersih
PRD060291,Rokok Marlboro Merah, 38000 ,22.0,Rokok
PRD060292,Teh Pucuk Harum 350ml,4000.00,16.0,Minuman
PRD060293,Kecap Bango Pouch 220ml,11000.00,100,Bumbu
PRD060294,Bumbu Racik Indofood Sayur Asem,Rp 2.500,-71,Bumbu
,Kapur Barus Bagus,15000,46,Lainnya
PRD060296,Sprite Botol 390ml,Rp 5000,73,Minuman
PRD060297,Shampo Lifebuoy Sachet,Rp 1000,,Perawatan Pribadi
PRD060298,Sabun Nuvo Biru,Rp 3500,,Perawatan Pribadi
PRD060299,Beras Ramos 5kg, 65000 ,87,Sembako
PRD060300,Baterai ABC Sedang (2 pcs),10000,-78,Lainnya
PRD060301,Shampo Sunsilk Sachet, 1500 ,100,Perawatan Pribadi
PRD060302,Indomie Kuah Ayam Bawang, 2800 ,34,Makanan
PRD060303,Kopi ABC Susu,Rp 1500,3,Minuman
PRD060304,Saus Sambal ABC 340ml,Rp 15000,28,Bumbu
PRD060305,,1500.00,25,Minuman
PRD060306,Pasta Gigi Pepsodent 190g,12500,61,Perawatan Pribadi
PRD060307,Teh Pucuk Harum 350ml,Rp 4000,14,Minuman
PRD060308,Aqua Gelas 240ml,1000,25,Minuman
PRD060309,Minyak Bimoli 2L,Rp 35000,1.0,Sembako
PRD060310,Minyak Bimoli 2L,35000,59,Sembako
PRD060311,Beras Rojolele 5kg,67000,45,Sembako
,Gula Pasir Gulaku 1kg,Rp 16.000,73.0,Sembako
PRD060313,Aqua Botol 600ml,,72.0,Minuman
PRD060314,Beras Ramos 5kg,,47,Sembako
PRD060315,Rokok Djarum Super, 22000 ,85,Rokok
PRD060316,Mie Sedap Goreng, 2900 ,44,Makanan
PRD060317,Sprite Botol 390ml,5000.00,40,Minuman
PRD060318,Kecap Bango Pouch 220ml,11000.00,4,Bumbu
PRD060319,Indomie Kuah Ayam Bawang, 2800 ,85.0,Makanan
PRD060320,Indomie Goreng,3000.00,-66,Makanan
PRD060321,Teh Sariwangi Celup,Rp 6500,92.0,Minuman
PRD060322,Garam Kapal 250g,3000,56,Bumbu
PRD060323,Pembalut Charm Cooling Fresh,18000,55,Perawatan Pribadi
PRD060324,Fanta Merah 390ml,Rp 5.000,53,Minuman
,Deterjen Attack Jaz1 800g,19000,62,Pembersih
PRD060326,Teh Pucuk Harum 350ml,4000.00,65,Minuman
PRD060327,Pasta Gigi Pepsodent 190g,Rp 12500,30,Perawatan Pribadi
PRD060328,Minyak Curah 1L, 16000 ,13,Sembako
PRD060329,Pembersih Lantai Wipol 750ml,Rp 18000,9,Pembersih
PRD060330,Deterjen Attack Jaz1 800g,19000,40,Pembersih
PRD060331,Pembalut Charm Cooling Fresh,Rp 18000,52,Perawatan Pribadi
PRD060332,,34500,74,Sembako
PRD060333,Beras Rojolele 5kg,67000.00,7,Sembako
PRD060334,Teh Celup Sosro,7000,51,Minuman
PRD060335,Aqua Botol 600ml,Rp 3500,41,Minuman
PRD060336,Garam Kapal 250g,3000.00,,Bumbu
PRD060337,Pasta Gigi Ciptadent 190g,Rp 10.000,47,Perawatan Pribadi
PRD060338,Minyak Curah 1L,Rp 16000,19,Sembako
,Garam Refina 250g,Rp 3500,-84,Bumbu
PRD060340,Kopi ABC Susu,1500.00,41,Minuman
PRD060341,Gula Pasir Gulaku 1kg,16000,-63,Sembako
PRD060342,,Rp 11.000,35,
,Deterjen Attack Jaz1 800g,19000.00,54,Pembersih
PRD060344,Beras Ramos 5kg,Rp 65000,50,Sembako
PRD060345,Rokok Gudang Garam Filter, 23000 ,57,Rokok
PRD060346,Rokok Djarum Super,Rp 22000,88,Rokok
PRD060347,Aqua Galon,21000,-73,Minuman
PRD060348,Saus Sambal Indofood 340ml,Rp 14500,76,Bumbu
PRD060349,Margarin Blue Band 200g,9500.00,30,Sembako
PRD060350,Rokok Surya 16,Rp 31.000,20,Rokok
PRD060351,Pembersih Lantai Super Pell 770ml,13500,49,Pembersih
PRD060352,Minyak Filma 2L, 34000 ,6,Sembako
PRD060353,Rokok Sampoerna Mild,Rp 30000,42,Rokok
PRD060354,Kopi Kapal Api Sachet,1500.00,52,Minuman
,Teh Celup Sosro,Rp 7.000,92,Minuman
PRD060356,Bumbu Racik Indofood Nasi Goreng,Rp 2.500,70,Bumbu
PRD060357,Beras Pandan Wangi 5kg,70000,-90,Sembako
PRD060358,Pasta Gigi Ciptadent 190g, 10000 ,42.0,Perawatan Pribadi
PRD060359,Baterai Alkalin AA (2 pcs),Rp 15.000,-80,Lainnya
PRD060360,,7500,88,Sembako
PRD060361,Indomie Kari Ayam,Rp 2800,56,Makanan
PRD060362,Coca Cola Botol 390ml,5000,97.0,Minuman
PRD060363,Rokok Gudang Garam Filter,Rp 23.000,44,Rokok
PRD060364,Indomie Goreng,3000,80,Makanan
PRD060365,Tepung Tapioka Rose Brand 500g,Rp 8000,18,Sembako
PRD060366,Indomie Kari Ayam,2800,-22,Makanan
PRD060367,Saus Sambal Indofood 340ml,14500.00,73,Bumbu
PRD060368,Baterai Alkalin AA (2 pcs),Rp 15000,,Lainnya
PRD060369,Susu Dancow Sachet,3500.00,-27,Minuman
PRD060370,Deterjen Daia 850g,18500.00,14,Pembersih
PRD060371,Aqua Gelas 240ml,1000,52,Minuman
PRD060372,Rokok Djarum Super,,18,Rokok
PRD060373,Deterjen Rinso Anti Noda 700g,22000,41,Pembersih
PRD060374,Shampo Pantene Sachet,1500.00,60,Perawatan Pribadi
PRD060375,Garam Kapal 250g,Rp 3.000,44,Bumbu
PRD060376,Pembersih Lantai Wipol 750ml,Rp 18.000,86,Pembersih
PRD060377,Aqua Botol 600ml,Rp 3.500,-23,Minuman
PRD060378,Sprite Botol 390ml,Rp 5.000,2,
PRD060379,Teh Pucuk Harum 350ml,4000,68,Minuman
PRD060380,Indomie Kuah Ayam Bawang,Rp 2800,-66,Makanan
PRD060381,Garam Kapal 250g,Rp 3.000,67,Bumbu
PRD060382,Obat Nyamuk Baygon Bakar,Rp 6.000,45,Lainnya
PRD060383,Aqua Galon,21000,82,Minuman
,Baterai Alkalin AA (2 pcs),Rp 15000,9.0,Lainnya
PRD060385,Saus Sambal ABC 340ml,15000,84.0,Bumbu
PRD060386,Pasta Gigi Pepsodent 190g,Rp 12500,19,Perawatan Pribadi
PRD060387,Indomie Kari Ayam,Rp 2.800,14,Makanan
PRD060388,Korek Api Gas Tokai,,96,Lainnya
PRD060389,Gula Curah 1kg,15000,88,Sembako
PRD060390,Rokok Djarum Super,Rp 22.000,-71,Rokok
PRD060391,Rokok Djarum Super,22000,67,Rokok
PRD060392,Indomie Goreng,3000.00,81,Makanan
PRD060393,Kopi Nescafe Classic,Rp 5.000,28,Minuman
PRD060394,Mie Sedap Goreng,Rp 2.900,7,Makanan
PRD060395,Teh Celup Sosro,7000,40,Minuman
PRD060396,Kecap ABC Pouch 220ml,9500,,Bumbu
PRD060397,Kopi Luwak White Koffie,2000,-33,Minuman
PRD060398,Deterjen Daia 850g, 18500 ,17,Pembersih
PRD060399,Pembalut Charm Cooling Fresh,Rp 18.000,48,Perawatan Pribadi
PRD060400,Kopi Torabika Susu,Rp 1.500,-72,Minuman
PRD060401,Deterjen Daia 850g,18500,,Pembersih
PRD060402,Indomie Kari Ayam,Rp 2.800,68,Makanan
PRD060403,Sabun Mandi Dettol,5000,79,Perawatan Pribadi
PRD060404,Baterai Alkalin AA (2 pcs),Rp 15000,74,Lainnya
PRD060405,Shampo Clear Sachet,1500.00,95,Perawatan Pribadi
PRD060406,Deterjen Rinso Anti Noda 700g,Rp 22000,39,Pembersih
PRD060407,Tepung Beras Rose Brand 500g,7500,41.0,Sembako
PRD060408,Obat Nyamuk Baygon Bakar, 6000 ,,Lainnya
PRD060409,Tepung Tapioka Rose Brand 500g,8000,,
PRD060410,Aqua Galon,Rp 21.000,71,Minuman
,Sabun Mandi Dettol,5000.00,45,Perawatan Pribadi
PRD060412,Beras Ramos 5kg, 65000 ,11.0,Sembako
PRD060413,Rokok Sampoerna Mild,30000,99,Rokok
PRD060414,Indomie Kari Ayam,2800,42.0,Makanan
PRD060415,Teh Sariwangi Celup,Rp 6500,67,Minuman
,Aqua Botol 600ml,3500.00,5,Minuman
PRD060417,Susu Dancow Sachet,,,Minuman
PRD060418,Kopi ABC Susu,,54,Minuman
PRD060419,Pasta Gigi Ciptadent 190g,Rp 10000,41.0,Perawatan Pribadi
PRD060420,Gula Curah 1kg,Rp 15.000,88,Sembako
PRD060421,Kopi ABC Susu, 1500 ,-19,Minuman
PRD060422,Sikat Gigi Formula,Rp 6.000,97.0,Perawatan Pribadi
PRD060423,Bumbu Racik Indofood Nasi Goreng,2500,92,Bumbu
