kode_barang,nama_produk,harga_jual,jumlah_stok,kategori
PRD040235,Kopi Luwak White Koffie,2000.00,17,Minuman
PRD040236,Pembersih Lantai Wipol 750ml,Rp 18000,77,Pembersih
PRD040237,Susu Indomilk Sachet, 1500 ,-1,
PRD040238,Coca Cola Botol 390ml,5000,21,Minuman
PRD040239,,21000.00,61,Minuman
,Popok MamyPoko Pants M,55000,-27,Perawatan Bayi
PRD040241,Susu Bear Brand,10500.00,94,Minuman
PRD040242,Minyak Sania 2L,34500,21,Sembako
PRD040243,Pembalut Charm Cooling Fresh,18000,78,Perawatan Pribadi
PRD040244,Sikat Gigi Formula,Rp 6.000,74,Perawatan Pribadi
PRD040245,Kapur Barus Bagus,15000.00,12,Lainnya
PRD040246,Tepung Tapioka Rose Brand 500g,Rp 8000,-91,Sembako
PRD040247,Pembersih Lantai Wipol 750ml,18000,,Pembersih
PRD040248,Sabun Lux Mawar,4500,67,Perawatan Pribadi
PRD040249,Shampo Sunsilk Sachet,1500.00,5,Perawatan Pribadi
PRD040250,Tisu Paseo 250s,18500,-32,Lainnya
PRD040251,Kapur Barus Bagus,15000,96,Lainnya
PRD040252,Garam Kapal 250g,3000,14,Bumbu
PRD040253,Bumbu Racik Indofood Sayur Asem,,-91,Bumbu
,Bumbu Racik Indofood Nasi Goreng,2500,24,Bumbu
PRD040255,Coca Cola Botol 390ml,5000,19,
PRD040256,Rokok Gudang Garam Filter,Rp 23.000,7,Rokok
PRD040257,Susu Indomilk Sachet,Rp 1.500,39,Minuman
PRD040258,Pasta Gigi Pepsodent 190g,Rp 12500,97,Perawatan Pribadi
PRD040259,Obat Nyamuk Baygon Bakar,6000,1,Lainnya
PRD040260,Pasta Gigi Ciptadent 190g,10000,71.0,Perawatan Pribadi
PRD040261,Kopi ABC Susu,Rp 1.500,-91,Minuman
PRD040262,Obat Nyamuk Baygon Bakar,6000.00,54,Lainnya
PRD040263,Deterjen Daia 850g,18500.00,41,Pembersih
PRD040264,Tepung Beras Rose Brand 500g, 7500 ,19,Sembako
PRD040265,Indomie Kuah Ayam Bawang,2800.00,-75,Makanan
,Indomie Goreng, 3000 ,58,Makanan
PRD040267,Kapur Barus Bagus,Rp 15.000,47,Lainnya
PRD040268,Obat Nyamuk Baygon Bakar,6000,18,Lainnya
PRD040269,Indomie Kuah Ayam Bawang,Rp 2.800,44,Makanan
PRD040270,Baterai Alkalin AA (2 pcs),Rp 15.000,-72,Lainnya
PRD040271,Obat Nyamuk Hit Spray,35000.00,40.0,Lainnya
PRD040272,Rokok Marlboro Merah,Rp 38.000,96,Rokok
PRD040273,,3000,97,Bumbu
PRD040274,Rokok Surya 16,Rp 31000,93,Rokok
PRD040275,Korek Api Gas Tokai,3000.00,86,Lainnya
PRD040276,Minyak Filma 2L,Rp 34000,47,Sembako
PRD040277,Pasta Gigi Ciptadent 190g,10000,97.0,Perawatan Pribadi
PRD040278,Rokok Sampoerna Mild,30000,32,Rokok
PRD040279,Garam Refina 250g,3500,13,Bumbu
PRD040280,Indomie Kuah Ayam Bawang,,48.0,Makanan
PRD040281,Obat Nyamuk Baygon Bakar,6000,76,Lainnya
PRD040282,Sabun Mandi Dettol,Rp 5000,,Perawatan Pribadi
PRD040283,Deterjen Daia 850g,18500,89,Pembersih
PRD040284,Deterjen Rinso Anti Noda 700g,,57.0,Pembersih
PRD040285,Minyak Bimoli 2L,35000.00,54,Sembako
PRD040286,Sabun Mandi Dettol,Rp 5000,1,Perawatan Pribadi
PRD040287,Shampo Clear Sachet, 1500 ,20,Perawatan Pribadi
PRD040288,Sabun Mandi Dettol,5000,6,Perawatan Pribadi
PRD040289,Popok MamyPoko Pants M,Rp 55.000,50,Perawatan Bayi
PRD040290,Popok Sweety Bronze Pants L,,91,Perawatan Bayi
PRD040291,Sabun Mandi Dettol,5000.00,,Perawatan Pribadi
PRD040292,Gula Pasir Gulaku 1kg,Rp 16000,90,Sembako
PRD040293,, 2900 ,-10,Makanan
PRD040294,Pasta Gigi Ciptadent 190g,Rp 10.000,62,Perawatan Pribadi
PRD040295,Sabun Lifebuoy Merah,4000.00,-54,Perawatan Pribadi
PRD040296,Shampo Lifebuoy Sachet, 1000 ,21,Perawatan Pribadi
PRD040297,Teh Celup Sosro,7000,36,Minuman
PRD040298,Deterjen Attack Jaz1 800g,19000,79,Pembersih
PRD040299,Garam Kapal 250g,Rp 3.000,63,Bumbu
PRD040300,Korek Api Gas Tokai,3000,73,Lainnya
PRD040301,Deterjen Rinso Anti Noda 700g,22000.00,94,Pembersih
PRD040302,Saus Sambal Indofood 340ml,14500,12,Bumbu
PRD040303,Deterjen Rinso Anti Noda 700g,22000.00,-97,Pembersih
PRD040304,Aqua Galon,Rp 21000,100,Minuman
PRD040305,Aqua Galon,Rp 21000,-11,Minuman
PRD040306,Saus Sambal ABC 340ml,Rp 15000,10,Bumbu
PRD040307,Coca Cola Botol 390ml,5000,4,Minuman
PRD040308,Beras Ramos 5kg,Rp 65.000,53,Sembako
PRD040309,Garam Kapal 250g,3000,59,Bumbu
PRD040310,Margarin Blue Band 200g, 9500 ,91,Sembako
PRD040311,, 31000 ,-6,Rokok
PRD040312,Sabun Cuci Piring Sunlight 460ml,Rp 11000,51,Pembersih
PRD040313,Fanta Merah 390ml, 5000 ,67,Minuman
PRD040314,Kopi Torabika Susu,Rp 1.500,2,Minuman
PRD040315,Sabun Nuvo Biru,Rp 3.500,49,Perawatan Pribadi
PRD040316,Shampo Sunsilk Sachet,1500,-54,Perawatan Pribadi
PRD040317,Pasta Gigi Pepsodent 190g,Rp 12.500,86,Perawatan Pribadi
PRD040318,Beras Ramos 5kg,65000.00,82,Sembako
PRD040319,Deterjen Daia 850g,Rp 18500,20,Pembersih
PRD040320,Teh Sariwangi Celup,6500,77,Minuman
PRD040321,Minyak Filma 2L,34000,11,Sembako
PRD040322,Minyak Sania 2L,34500.00,47,Sembako
PRD040323,Beras Ramos 5kg,Rp 65000,2,Sembako
PRD040324,Saus Sambal Indofood 340ml,14500,80,Bumbu
PRD040325,Aqua Gelas 240ml,Rp 1.000,6,Minuman
PRD040326,Kopi Kapal Api Sachet,1500,58,Minuman
PRD040327,Pembalut Laurier Relax Night,Rp 20000,89,Perawatan Pribadi
PRD040328,Susu Dancow Sachet,Rp 3.500,56,Minuman
PRD040329,Beras Rojolele 5kg,67000.00,26.0,Sembako
PRD040330,Rokok Marlboro Merah,38000.00,12,Rokok
PRD040331,Fanta Merah 390ml,5000,15.0,Minuman
PRD040332,Tisu Paseo 250s,Rp 18500,9,Lainnya
PRD040333,Korek Api Gas Tokai,Rp 3000,8,Lainnya
PRD040334,Gula Pasir Gulaku 1kg,Rp 16.000,7,Sembako
PRD040335,Rokok Marlboro Merah,Rp 38000,74,Rokok
,Minyak Filma 2L,Rp 34.000,32,Sembako
PRD040337,,Rp 18500,82,Lainnya
PRD040338,Susu Frisian Flag Sachet,1500,10,Minuman
PRD040339,Indomie Kuah Ayam Bawang,Rp 2.800,91,Makanan
PRD040340,Saus Sambal ABC 340ml,15000.00,27,Bumbu
PRD040341,Susu Dancow Sachet,Rp 3500,95,Minuman
PRD040342,Shampo Pantene Sachet, 1500 ,-20,Perawatan Pribadi
PRD040343,Minyak Filma 2L,34000.00,90,Sembako
PRD040344,Bumbu Racik Indofood Nasi Goreng,Rp 2.500,54,Bumbu
PRD040345,Tisu Paseo 250s,18500,77,Lainnya
PRD040346,Sabun Cuci Piring Mama Lemon 400ml,Rp 9500,57,Pembersih
PRD040347,Susu Frisian Flag Sachet,1500.00,4,Minuman
PRD040348,Minyak Filma 2L, 34000 ,59,Sembako
PRD040349,Deterjen Daia 850g,18500,5,Pembersih
PRD040350,Beras Ramos 5kg,65000.00,40,Sembako
PRD040351,Minyak Curah 1L,16000,85,Sembako
PRD040352,Pembersih Lantai Wipol 750ml,18000.00,49,Pembersih
PRD040353,Kecap Bango Pouch 220ml, 11000 ,13.0,
PRD040354,Obat Nyamuk Hit Spray,35000,-46,Lainnya
PRD040355,Gula Curah 1kg,15000.00,70,Sembako
PRD040356,,4500.00,92,Perawatan Pribadi
PRD040357,Susu Dancow Sachet, 3500 ,64,Minuman
PRD040358,Popok Sweety Bronze Pants L,Rp 48000,96.0,Perawatan Bayi
PRD040359,Tisu Paseo 250s,18500,97,Lainnya
PRD040360,,Rp 1.000,7,Perawatan Pribadi
PRD040361,Sikat Gigi Formula,6000.00,,Perawatan Pribadi
PRD040362,Rokok Marlboro Merah,Rp 38.000,93,Rokok
PRD040363,Sikat Gigi Formula,6000,75,Perawatan Pribadi
PRD040364,Tisu Paseo 250s,Rp 18500,65,Lainnya
PRD040365,Minyak Curah 1L, 16000 ,35,Sembako
PRD040366,Shampo Clear Sachet,Rp 1500,36,Perawatan Pribadi
,Saus Sambal ABC 340ml,15000.00,94,Bumbu
PRD040368,,13500,92,Pembersih
PRD040369,Sikat Gigi Formula,Rp 6000,38,Perawatan Pribadi
,Kopi Nescafe Classic,Rp 5000,83,Minuman
PRD040371,Beras Pandan Wangi 5kg,70000,80,Sembako
PRD040372,Sikat Gigi Formula,6000,68,
PRD040373,Sabun Nuvo Biru,Rp 3500,80,Perawatan Pribadi
PRD040374,Sabun Cuci Piring Mama Lemon 400ml,9500,54.0,Pembersih
PRD040375,Teh Pucuk Harum 350ml,4000.00,,Minuman
PRD040376,Sabun Lifebuoy Merah,Rp 4.000,78,Perawatan Pribadi
PRD040377,Sabun Nuvo Biru,Rp 3.500,,Perawatan Pribadi
PRD040378,Sabun Cuci Piring Sunlight 460ml, 11000 ,2,Pembersih
PRD040379,Garam Kapal 250g,Rp 3000,4,
PRD040380,Gula Pasir Gulaku 1kg,16000,38,Sembako
PRD040381,Tisu Paseo 250s,18500,54,Lainnya
PRD040382,Teh Pucuk Harum 350ml,Rp 4.000,77,Minuman
PRD040383,Minyak Curah 1L,,15,Sembako
PRD040384,Susu Dancow Sachet,Rp 3500,0,Minuman
PRD040385,,Rp 2000,91,Minuman
PRD040386,,1500,94,
PRD040387,Kopi Nescafe Classic,5000,34,Minuman
PRD040388,Sabun Nuvo Biru,,-13,Perawatan Pribadi
PRD040389,Sprite Botol 390ml,5000.00,,Minuman
PRD040390,Kecap Bango Pouch 220ml, 11000 ,47,Bumbu
,Beras Rojolele 5kg,67000,54,Sembako
PRD040392,Pembersih Lantai Super Pell 770ml,13500,3,Pembersih
PRD040393,Obat Nyamuk Baygon Bakar,Rp 6.000,50,Lainnya
,Deterjen Rinso Anti Noda 700g,22000.00,75,Pembersih
PRD040395,Minyak Bimoli 2L,Rp 35000,32,Sembako
PRD040396,Pasta Gigi Ciptadent 190g,10000.00,10.0,Perawatan Pribadi
PRD040397,Teh Pucuk Harum 350ml,Rp 4000,2,Minuman
PRD040398,Deterjen Daia 850g,18500.00,66,Pembersih
PRD040399,Saus Sambal Indofood 340ml,14500,4,Bumbu
PRD040400,Margarin Forvita 200g,Rp 7.000,65,Sembako
PRD040401,Shampo Clear Sachet,Rp 1500,54,
PRD040402,Fanta Merah 390ml,Rp 5.000,-37,Minuman
PRD040403,, 5000 ,10,Minuman
PRD040404,Gula Curah 1kg,,-86,Sembako
PRD040405,Kecap Bango Pouch 220ml,Rp 11000,26,Bumbu
PRD040406,Pembalut Charm Cooling Fresh,18000,24,Perawatan Pribadi
PRD040407,Sabun Mandi Dettol,5000,-58,Perawatan Pribadi
PRD040408,Mie Sedap Goreng, 2900 ,27,Makanan
PRD040409,Gula Pasir Gulaku 1kg,16000.00,54,Sembako
PRD040410,Minyak Filma 2L,Rp 34000,36,Sembako
PRD040411,Sprite Botol 390ml,5000.00,15,Minuman
PRD040412,Garam Kapal 250g,Rp 3000,21,Bumbu
PRD040413,Deterjen Rinso Anti Noda 700g,Rp 22.000,86,Pembersih
PRD040414,Rokok Gudang Garam Filter, 23000 ,,Rokok
PRD040415,Bumbu Racik Indofood Nasi Goreng,,41,Bumbu
PRD040416,Pasta Gigi Pepsodent 190g,Rp 12500,-91,Perawatan Pribadi
PRD040417,Tepung Tapioka Rose Brand 500g,Rp 8000,98,Sembako
PRD040418,Sabun Lux Mawar,Rp 4500,13.0,Perawatan Pribadi
PRD040419,Rokok Djarum Super,22000.00,5,Rokok
PRD040420,Margarin Blue Band 200g,Rp 9.500,,
PRD040421,Susu Dancow Sachet,3500,3,Minuman
PRD040422,Rokok Gudang Garam Filter,23000,44,Rokok
PRD040423,Kecap ABC Pouch 220ml,9500.00,86,Bumbu
PRD040424,Shampo Clear Sachet,1500,90,Perawatan Pribadi
PRD040425,Pembalut Laurier Relax Night,20000,,Perawatan Pribadi
PRD040426,Kopi Nescafe Classic,,72,Minuman
PRD040427,Baterai ABC Sedang (2 pcs),10000,99,Lainnya
