kd_brg,nm_brg,hrg,jml,ktg
PRD070124,Sprite Botol 390ml,,30,Minuman
PRD070125,Deterjen Attack Jaz1 800g,19000,92,Pembersih
PRD070126,Deterjen Daia 850g,Rp 18500,46,Pembersih
PRD070127,Sabun Lifebuoy Merah,,15,Perawatan Pribadi
PRD070128,Kapur Barus Bagus,15000,88,Lainnya
PRD070129,Bumbu Racik Indofood Sayur Asem,Rp 2.500,58,Bumbu
PRD070130,Beras Rojolele 5kg,67000,68,Sembako
PRD070131,Shampo Lifebuoy Sachet,1000,54,Perawatan Pribadi
PRD070132,Garam Refina 250g,3500,28,Bumbu
PRD070133,Popok MamyPoko Pants M,Rp 55000,97,Perawatan Bayi
PRD070134,Sabun Cuci Piring Mama Lemon 400ml,Rp 9.500,-64,Pembersih
PRD070135,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,73,Pembersih
PRD070136,Susu Dancow Sachet,3500.00,31,Minuman
PRD070137,Aqua Gelas 240ml,1000,39,Minuman
PRD070138,,23000,-75,Rokok
PRD070139,Shampo Clear Sachet,Rp 1500,73,Perawatan Pribadi
PRD070140,Rokok Gudang Garam Filter,23000,61,Rokok
PRD070141,Saus Sambal ABC 340ml,15000,34,
PRD070142,Kecap Bango Pouch 220ml,Rp 11.000,82,Bumbu
PRD070143,Rokok Surya 16,Rp 31000,58,Rokok
PRD070144,Tepung Beras Rose Brand 500g,7500.00,66,Sembako
PRD070145,Kecap ABC Pouch 220ml,9500.00,-90,Bumbu
PRD070146,Indomie Kari Ayam,2800.00,46,Makanan
PRD070147,Aqua Galon,21000,4,Minuman
PRD070148,Pasta Gigi Ciptadent 190g, 10000 ,97,Perawatan Pribadi
PRD070149,Margarin Forvita 200g, 7000 ,31,Sembako
PRD070150,Kecap ABC Pouch 220ml,9500,95,Bumbu
PRD070151,Baterai Alkalin AA (2 pcs),Rp 15.000,3.0,Lainnya
PRD070152,Sabun Cuci Piring Mama Lemon 400ml, 9500 ,92,Pembersih
PRD070153,Sprite Botol 390ml,,-46,Minuman
PRD070154,Kopi Kapal Api Sachet,1500,10,Minuman
PRD070155,Pembalut Charm Cooling Fresh,18000,58,Perawatan Pribadi
PRD070156,Margarin Forvita 200g,Rp 7000,71,Sembako
PRD070157,Minyak Sania 2L,Rp 34500,88,
PRD070158,Kopi Nescafe Classic,,92,Minuman
PRD070159,Tepung Tapioka Rose Brand 500g,Rp 8.000,5,Sembako
PRD070160,Margarin Blue Band 200g,Rp 9.500,68,Sembako
PRD070161,Teh Celup Sosro,Rp 7000,99.0,Minuman
PRD070162,Susu Indomilk Sachet,Rp 1500,96,Minuman
PRD070163,Saus Sambal ABC 340ml,Rp 15.000,-53,Bumbu
PRD070164,Kopi Luwak White Koffie,2000,67,Minuman
,,5000,70,Minuman
PRD070166,Kopi Torabika Susu,1500,54,Minuman
PRD070167,Beras Pandan Wangi 5kg,Rp 70000,-53,Sembako
PRD070168,Pembalut Charm Cooling Fresh,18000,67,Perawatan Pribadi
PRD070169,Kapur Barus Bagus,15000,12,Lainnya
PRD070170,Tepung Terigu Segitiga Biru 1kg,13000.00,33,Sembako
PRD070171,Kecap ABC Pouch 220ml,9500,4,Bumbu
PRD070172,Saus Sambal ABC 340ml,15000.00,80,Bumbu
PRD070173,Susu Bear Brand,10500,70,Minuman
PRD070174,Tepung Tapioka Rose Brand 500g,Rp 8000,40,Sembako
PRD070175,Aqua Botol 600ml,3500.00,75,Minuman
PRD070176,Minyak Filma 2L,34000.00,0,Sembako
PRD070177,Gula Curah 1kg,Rp 15.000,48,Sembako
PRD070178,Shampo Lifebuoy Sachet,1000,52,Perawatan Pribadi
PRD070179,Kopi Nescafe Classic,5000,79,Minuman
PRD070180,Kopi ABC Susu,Rp 1500,49,Minuman
PRD070181,Teh Sariwangi Celup,Rp 6.500,,Minuman
PRD070182,,,-39,Sembako
PRD070183,Baterai Alkalin AA (2 pcs),15000.00,24,Lainnya
PRD070184,Kecap ABC Pouch 220ml,9500.00,9,Bumbu
,Beras Ramos 5kg,65000,71,Sembako
,Sprite Botol 390ml,5000.00,98,Minuman
PRD070187,Kecap ABC Pouch 220ml,9500.00,58,Bumbu
PRD070188,Le Minerale 600ml,Rp 3500,2,Minuman
PRD070189,Tepung Terigu Segitiga Biru 1kg,13000,61,Sembako
PRD070190,Rokok Sampoerna Mild,30000.00,27.0,Rokok
PRD070191,Tepung Beras Rose Brand 500g,7500,36,Sembako
PRD070192,Minyak Curah 1L,Rp 16.000,48,Sembako
,Beras Pandan Wangi 5kg,70000,27,Sembako
PRD070194,Tisu Tessa 250s,,81,Lainnya
PRD070195,Sabun Mandi Dettol,5000,-5,Perawatan Pribadi
,Beras Pandan Wangi 5kg,Rp 70.000,52,Sembako
PRD070197,Pasta Gigi Pepsodent 190g,Rp 12.500,71,Perawatan Pribadi
PRD070198,Susu Dancow Sachet,3500.00,63,Minuman
PRD070199,Deterjen Daia 850g,18500,50,Pembersih
PRD070200,Gula Pasir Gulaku 1kg,Rp 16.000,-22,
PRD070201,Deterjen Attack Jaz1 800g,19000,76,Pembersih
PRD070202,,65000.00,24,Sembako
PRD070203,Kapur Barus Bagus,15000,26,Lainnya
PRD070204,Susu Frisian Flag Sachet,1500,-89,Minuman
,Teh Celup Sosro,Rp 7.000,10,Minuman
PRD070206,Sabun Lux Mawar,4500,57,Perawatan Pribadi
,Tepung Beras Rose Brand 500g,7500,12,Sembako
PRD070208,Aqua Galon,21000,30,Minuman
PRD070209,Garam Kapal 250g,3000,72,Bumbu
PRD070210,Gula Pasir Gulaku 1kg,Rp 16.000,93,Sembako
PRD070211,Tepung Tapioka Rose Brand 500g,8000,47,Sembako
PRD070212,Deterjen Attack Jaz1 800g,19000.00,-65,Pembersih
PRD070213,Gula Curah 1kg,Rp 15000,29,Sembako
,Pembalut Laurier Relax Night,20000.00,70.0,Perawatan Pribadi
PRD070215,Shampo Sunsilk Sachet,1500.00,78,Perawatan Pribadi
PRD070216,Sabun Nuvo Biru,3500,37,Perawatan Pribadi
PRD070217,Tepung Terigu Segitiga Biru 1kg,Rp 13000,58,Sembako
PRD070218,Susu Frisian Flag Sachet,1500,-35,Minuman
PRD070219,Popok Sweety Bronze Pants L,Rp 48000,51,Perawatan Bayi
PRD070220,Kopi Nescafe Classic,Rp 5.000,33,Minuman
PRD070221,Popok Sweety Bronze Pants L,48000,53,Perawatan Bayi
,Sprite Botol 390ml,Rp 5.000,-52,Minuman
PRD070223,Gula Pasir Gulaku 1kg, 16000 ,59.0,Sembako
PRD070224,Baterai ABC Sedang (2 pcs),Rp 10.000,3.0,Lainnya
PRD070225,Pasta Gigi Ciptadent 190g,Rp 10.000,80,Perawatan Pribadi
PRD070226,Margarin Blue Band 200g,9500,32,Sembako
PRD070227,, 67000 ,,Sembako
PRD070228,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,29,Pembersih
,Kopi ABC Susu,Rp 1.500,28,Minuman
,Garam Kapal 250g,,18,Bumbu
PRD070231,Sikat Gigi Formula,Rp 6000,16,Perawatan Pribadi
PRD070232,Kecap Bango Pouch 220ml,11000,33,Bumbu
PRD070233,Sprite Botol 390ml, 5000 ,22,Minuman
PRD070234,Saus Sambal Indofood 340ml,Rp 14.500,61,Bumbu
PRD070235,Susu Frisian Flag Sachet,Rp 1500,55,Minuman
PRD070236,Baterai ABC Sedang (2 pcs),10000,99,Lainnya
PRD070237,Kapur Barus Bagus,,45,
PRD070238,Susu Indomilk Sachet,1500.00,28,Minuman
PRD070239,Indomie Kuah Ayam Bawang,2800,49,Makanan
PRD070240,Tisu Paseo 250s,18500.00,52,Lainnya
PRD070241,Aqua Galon,Rp 21000,57,Minuman
PRD070242,Saus Sambal Indofood 340ml,14500.00,100,Bumbu
,Saus Sambal Indofood 340ml,14500.00,54,Bumbu
PRD070244,Tepung Tapioka Rose Brand 500g,8000.00,93,
PRD070245,Kopi Luwak White Koffie,Rp 2000,10,Minuman
PRD070246,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,5,Pembersih
PRD070247,Rokok Djarum Super,22000,27,Rokok
PRD070248,Tepung Tapioka Rose Brand 500g,Rp 8000,67,Sembako
PRD070249,Beras Ramos 5kg,Rp 65.000,32,Sembako
PRD070250,Deterjen Rinso Anti Noda 700g,,86,Pembersih
PRD070251,Sabun Cuci Piring Sunlight 460ml,Rp 11000,1,Pembersih
PRD070252,Rokok Sampoerna Mild,Rp 30000,32,Rokok
PRD070253,Pembersih Lantai Super Pell 770ml, 13500 ,34,Pembersih
PRD070254,Rokok Djarum Super,22000.00,56,Rokok
PRD070255,Minyak Bimoli 2L,35000,53,Sembako
PRD070256,Rokok Djarum Super,,65.0,Rokok
PRD070257,Kopi ABC Susu,Rp 1.500,37,Minuman
PRD070258,Mie Sedap Goreng,2900,-79,Makanan
,Beras Pandan Wangi 5kg,70000.00,20,Sembako
PRD070260,Kecap ABC Pouch 220ml,Rp 9500,21,Bumbu
PRD070261,Margarin Forvita 200g, 7000 ,47,Sembako
PRD070262,Tepung Tapioka Rose Brand 500g,8000,47,Sembako
PRD070263,Saus Sambal Indofood 340ml,Rp 14500,14,Bumbu
PRD070264,Margarin Blue Band 200g,9500.00,60,Sembako
PRD070265,Mie Sedap Goreng,Rp 2.900,,Makanan
PRD070266,Pasta Gigi Ciptadent 190g,Rp 10000,12,Perawatan Pribadi
PRD070267,Sabun Cuci Piring Mama Lemon 400ml,,73,Pembersih
PRD070268,Obat Nyamuk Hit Spray,Rp 35.000,97,Lainnya
PRD070269,Teh Pucuk Harum 350ml,4000,30,Minuman
PRD070270,Sabun Nuvo Biru,3500,67,Perawatan Pribadi
PRD070271,Minyak Curah 1L,Rp 16000,30,Sembako
PRD070272,Shampo Sunsilk Sachet,1500.00,88,Perawatan Pribadi
PRD070273,,5000.00,97,Minuman
PRD070274,Shampo Pantene Sachet,1500.00,54,Perawatan Pribadi
,Coca Cola Botol 390ml,Rp 5000,44,Minuman
PRD070276,Popok Sweety Bronze Pants L,48000,74.0,Perawatan Bayi
PRD070277,Indomie Kuah Ayam Bawang,Rp 2.800,0,Makanan
PRD070278,Shampo Lifebuoy Sachet,1000.00,50,Perawatan Pribadi
PRD070279,, 1500 ,82,Perawatan Pribadi
PRD070280,Pembersih Lantai Wipol 750ml,Rp 18000,-24,Pembersih
PRD070281,Saus Sambal Indofood 340ml,14500,3,Bumbu
PRD070282,Pembersih Lantai Wipol 750ml, 18000 ,76,Pembersih
PRD070283,Margarin Forvita 200g,7000,67,Sembako
PRD070284,Mie Sedap Goreng,Rp 2.900,53,Makanan
PRD070285,Saus Sambal ABC 340ml,15000,92,Bumbu
,Tepung Terigu Segitiga Biru 1kg,Rp 13000,23,Sembako
PRD070287,Tisu Tessa 250s,17000,-62,Lainnya
PRD070288,Rokok Surya 16,31000,78,Rokok
PRD070289,Bumbu Racik Indofood Nasi Goreng,Rp 2500,69,Bumbu
PRD070290,Bumbu Racik Indofood Sayur Asem,2500,52,Bumbu
,Pembalut Charm Cooling Fresh, 18000 ,99,Perawatan Pribadi
PRD070292,Deterjen Daia 850g,18500.00,61,
PRD070293,Gula Pasir Gulaku 1kg,16000,30,Sembako
PRD070294,Le Minerale 600ml,,-52,Minuman
PRD070295,Mie Sedap Goreng,,,Makanan
PRD070296,Pembersih Lantai Wipol 750ml,18000,50,Pembersih
PRD070297,,Rp 20000,64.0,Perawatan Pribadi
PRD070298,Minyak Filma 2L,34000.00,16,Sembako
PRD070299,Indomie Goreng,3000.00,11,Makanan
PRD070300,Rokok Djarum Super,Rp 22000,-93,Rokok
PRD070301,Susu Frisian Flag Sachet,1500,58.0,Minuman
PRD070302,,Rp 16000,80,Sembako
PRD070303,Gula Pasir Gulaku 1kg,16000,12,Sembako
PRD070304,Sabun Nuvo Biru,3500.00,9,Perawatan Pribadi
PRD070305,Indomie Kuah Ayam Bawang,Rp 2.800,3,Makanan
PRD070306,Tisu Paseo 250s,Rp 18.500,52,Lainnya
PRD070307,Kopi Kapal Api Sachet,1500,6,Minuman
PRD070308,Coca Cola Botol 390ml, 5000 ,66.0,Minuman
PRD070309,Kopi Luwak White Koffie,2000,-13,Minuman
PRD070310,Margarin Forvita 200g,7000.00,-69,Sembako
PRD070311,Beras Pandan Wangi 5kg,70000.00,9,Sembako
PRD070312,Rokok Sampoerna Mild,Rp 30.000,-61,Rokok
PRD070313,Gula Pasir Gulaku 1kg,16000,-52,Sembako
,Aqua Botol 600ml,Rp 3500,17,Minuman
PRD070315,Kecap ABC Pouch 220ml,Rp 9.500,30,Bumbu
PRD070316,Beras Pandan Wangi 5kg,Rp 70.000,-65,Sembako
PRD070317,Minyak Sania 2L,Rp 34.500,89.0,Sembako
PRD070318,Aqua Gelas 240ml,1000,23,
PRD070319,Aqua Galon,Rp 21.000,-42,Minuman
PRD070320,Rokok Surya 16,Rp 31000,45.0,Rokok
PRD070321,Deterjen Attack Jaz1 800g,,96,Pembersih
,Fanta Merah 390ml,Rp 5000,60,Minuman
PRD070323,Fanta Merah 390ml,,90,Minuman
PRD070324,Rokok Sampoerna Mild,30000.00,76.0,Rokok
PRD070325,Baterai ABC Sedang (2 pcs),10000.00,79,Lainnya
PRD070326,Beras Pandan Wangi 5kg,70000.00,2,Sembako
PRD070327,Tepung Beras Rose Brand 500g,Rp 7.500,81,
,Minyak Curah 1L, 16000 ,-51,Sembako
PRD070329,Coca Cola Botol 390ml,5000,98,Minuman
PRD070330,Kopi Luwak White Koffie,2000.00,34,Minuman
PRD070331,Kecap Bango Pouch 220ml, 11000 ,81,Bumbu
PRD070332,Mie Sedap Goreng, 2900 ,73,Makanan
PRD070333,Sabun Mandi Dettol,Rp 5.000,69,Perawatan Pribadi
PRD070334,Fanta Merah 390ml,Rp 5000,95,Minuman
PRD070335,Kopi Luwak White Koffie,2000.00,19,Minuman
PRD070336,Minyak Curah 1L,16000,-27,Sembako
PRD070337,Pembersih Lantai Wipol 750ml,,10,Pembersih
PRD070338,,Rp 15000,11,Lainnya
PRD070339,Susu Frisian Flag Sachet,,14,Minuman
PRD070340,Susu Frisian Flag Sachet,Rp 1.500,56,Minuman
PRD070341,Fanta Merah 390ml,Rp 5000,49,Minuman
PRD070342,Bumbu Racik Indofood Sayur Asem,Rp 2500,96,Bumbu
PRD070343,Indomie Goreng,Rp 3.000,32,Makanan
PRD070344,Coca Cola Botol 390ml,Rp 5.000,98,Minuman
PRD070345,Shampo Lifebuoy Sachet,1000.00,86,Perawatan Pribadi
PRD070346,Indomie Goreng,Rp 3.000,93,Makanan
PRD070347,Coca Cola Botol 390ml,5000,49,Minuman
PRD070348,Bumbu Racik Indofood Nasi Goreng,2500.00,32,Bumbu
PRD070349,Susu Indomilk Sachet, 1500 ,39,Minuman
PRD070350,Coca Cola Botol 390ml,5000,39,Minuman
PRD070351,Rokok Marlboro Merah,38000,80,Rokok
PRD070352,Pembalut Charm Cooling Fresh,Rp 18.000,75,Perawatan Pribadi
PRD070353,,16000,64,Sembako
PRD070354,Garam Refina 250g,Rp 3.500,0,Bumbu
PRD070355,Baterai ABC Sedang (2 pcs),Rp 10.000,98,Lainnya
PRD070356,Margarin Forvita 200g,Rp 7000,30,Sembako
PRD070357,Aqua Gelas 240ml,Rp 1000,78,Minuman
PRD070358,Rokok Surya 16,Rp 31.000,53,Rokok
PRD070359,Aqua Gelas 240ml,Rp 1.000,20.0,Minuman
PRD070360,Pembersih Lantai Wipol 750ml,18000,99,Pembersih
PRD070361,Indomie Kari Ayam,2800,82,Makanan
PRD070362,Susu Indomilk Sachet,1500,5,Minuman
PRD070363,Sikat Gigi Formula,6000,86,Perawatan Pribadi
PRD070364,Sabun Cuci Piring Mama Lemon 400ml,Rp 9500,-47,Pembersih
PRD070365,Kopi Torabika Susu,1500,53,Minuman
PRD070366,Susu Dancow Sachet,3500,50,Minuman
PRD070367,Tepung Beras Rose Brand 500g, 7500 ,82,Sembako
,Rokok Sampoerna Mild,,46,Rokok
PRD070369,Baterai ABC Sedang (2 pcs),10000.00,46,Lainnya
PRD070370,Minyak Bimoli 2L,35000.00,90,Sembako
PRD070371,Sabun Mandi Dettol,5000.00,78,Perawatan Pribadi
PRD070372,,2500,-87,Bumbu
PRD070373,Deterjen Rinso Anti Noda 700g,Rp 22.000,95,Pembersih
PRD070374,Obat Nyamuk Hit Spray, 35000 ,79,Lainnya
PRD070375,Minyak Bimoli 2L,35000,44.0,Sembako
PRD070376,Pembalut Laurier Relax Night,20000.00,100,Perawatan Pribadi
PRD070377,Pembersih Lantai Super Pell 770ml,13500,45,Pembersih
PRD070378,Teh Sariwangi Celup,Rp 6.500,83,Minuman
PRD070379,Pembersih Lantai Super Pell 770ml,Rp 13.500,44,Pembersih
PRD070380,,,-89,Sembako
PRD070381,,Rp 13.000,40,Sembako
PRD070382,Kopi Nescafe Classic,Rp 5.000,76,Minuman
PRD070383,Kecap Bango Pouch 220ml,11000,17,Bumbu
PRD070384,Deterjen Rinso Anti Noda 700g,22000.00,54,Pembersih
PRD070385,Deterjen Daia 850g,Rp 18500,51,Pembersih
PRD070386,Pembersih Lantai Wipol 750ml,Rp 18000,95,Pembersih
PRD070387,Korek Api Gas Tokai,3000,-27,Lainnya
PRD070388,Fanta Merah 390ml,5000,82,Minuman
PRD070389,Teh Pucuk Harum 350ml,4000,25,Minuman
PRD070390,Kecap Bango Pouch 220ml,11000,67,Bumbu
,Bumbu Racik Indofood Sayur Asem,Rp 2500,78,Bumbu
PRD070392,Susu Bear Brand,10500,40,Minuman
,Gula Curah 1kg,Rp 15000,55,Sembako
,Deterjen Rinso Anti Noda 700g,,98,Pembersih
PRD070395,Pembalut Laurier Relax Night,20000,88,Perawatan Pribadi
PRD070396,Baterai ABC Sedang (2 pcs),10000.00,-96,Lainnya
PRD070397,Kapur Barus Bagus,Rp 15000,-40,Lainnya
PRD070398,Minyak Curah 1L,16000,90,Sembako
PRD070399,Susu Dancow Sachet,Rp 3.500,8,Minuman
PRD070400,,4000.00,-34,Perawatan Pribadi
PRD070401,Rokok Surya 16,Rp 31.000,39,Rokok
PRD070402,Pembersih Lantai Super Pell 770ml,13500,81,Pembersih
PRD070403,Margarin Forvita 200g,7000.00,97.0,Sembako
PRD070404,Susu Bear Brand,10500.00,28,Minuman
PRD070405,Minyak Bimoli 2L,35000,,Sembako
PRD070406,Mie Sedap Goreng,2900,95,Makanan
PRD070407,Shampo Clear Sachet,1500,80,Perawatan Pribadi
,Gula Curah 1kg,15000,29.0,Sembako
PRD070409,Indomie Kuah Soto,2800,92,Makanan
,Pembersih Lantai Wipol 750ml,Rp 18000,13,
PRD070411,Popok MamyPoko Pants M, 55000 ,60,Perawatan Bayi
PRD070412,Kopi Kapal Api Sachet,1500,76,Minuman
PRD070413,Teh Pucuk Harum 350ml,Rp 4.000,49,Minuman
PRD070414,Teh Pucuk Harum 350ml,Rp 4000,33,Minuman
PRD070415,Bumbu Racik Indofood Nasi Goreng, 2500 ,35,Bumbu
PRD070416,Bumbu Racik Indofood Sayur Asem,,-19,Bumbu
,Margarin Blue Band 200g,Rp 9500,52,Sembako
PRD070418,Susu Indomilk Sachet,Rp 1.500,49,Minuman
PRD070419,Pembersih Lantai Wipol 750ml,Rp 18.000,1.0,Pembersih
PRD070420,Deterjen Attack Jaz1 800g,Rp 19000,-76,
PRD070421,Beras Pandan Wangi 5kg,,84,Sembako
PRD070422,Susu Bear Brand,Rp 10.500,12.0,Minuman
PRD070423,Coca Cola Botol 390ml,5000.00,73.0,Minuman
PRD070424,Aqua Galon,,-47,Minuman
PRD070425,Tisu Tessa 250s,Rp 17.000,97,Lainnya
PRD070426,Pembersih Lantai Super Pell 770ml,Rp 13.500,-11,Pembersih
