kode_barang,nama_produk,harga_jual,jumlah_stok,kategori
PRD050373,Coca Cola Botol 390ml,5000,-16,Minuman
PRD050374,Kecap Bango Pouch 220ml,,14,Bumbu
PRD050375,Fanta Merah 390ml,5000,-45,Minuman
PRD050376,Indomie Kuah Ayam Bawang,2800.00,37,Makanan
PRD050377,Shampo Clear Sachet,Rp 1500,15,Perawatan Pribadi
PRD050378,Kopi ABC Susu,1500.00,61,Minuman
PRD050379,Susu Indomilk Sachet,1500.00,50,Minuman
PRD050380,, 10000 ,-100,Perawatan Pribadi
PRD050381,Baterai Alkalin AA (2 pcs),15000.00,90,Lainnya
PRD050382,,Rp 15000,7,Lainnya
PRD050383,Rokok Marlboro Merah, 38000 ,,Rokok
PRD050384,Pembalut Charm Cooling Fresh,18000.00,24,Perawatan Pribadi
PRD050385,Margarin Forvita 200g,Rp 7000,29,Sembako
PRD050386,Indomie Kuah Ayam Bawang,Rp 2.800,76,Makanan
PRD050387,Tepung Beras Rose Brand 500g,7500.00,-67,Sembako
PRD050388,Obat Nyamuk Baygon Bakar, 6000 ,47,Lainnya
PRD050389,Beras Ramos 5kg,65000,80,
,,Rp 2500,23,Bumbu
PRD050391,Coca Cola Botol 390ml,5000.00,45,Minuman
PRD050392,Indomie Kuah Ayam Bawang,2800,14,Makanan
PRD050393,Minyak Curah 1L,16000,38,Sembako
PRD050394,Sabun Lifebuoy Merah,4000,-10,Perawatan Pribadi
PRD050395,Margarin Forvita 200g,Rp 7.000,2,Sembako
PRD050396,,Rp 7.000,87.0,Minuman
PRD050397,Kopi Kapal Api Sachet,Rp 1500,91,Minuman
PRD050398,Minyak Filma 2L,34000.00,35,
PRD050399,Bumbu Racik Indofood Sayur Asem, 2500 ,72.0,Bumbu
PRD050400,Susu Bear Brand,Rp 10500,3.0,Minuman
PRD050401,Minyak Filma 2L, 34000 ,,Sembako
PRD050402,Pembersih Lantai Wipol 750ml,Rp 18.000,58,Pembersih
PRD050403,Obat Nyamuk Baygon Bakar, 6000 ,-45,Lainnya
PRD050404,Kapur Barus Bagus,15000.00,-41,Lainnya
PRD050405,Gula Curah 1kg,15000,20,Sembako
PRD050406,Aqua Botol 600ml,Rp 3.500,14,Minuman
PRD050407,Shampo Clear Sachet,1500.00,81,Perawatan Pribadi
PRD050408,Pembalut Charm Cooling Fresh,Rp 18.000,-1,Perawatan Pribadi
PRD050409,Popok Sweety Bronze Pants L, 48000 ,0,
PRD050410,Garam Kapal 250g,Rp 3.000,9,Bumbu
PRD050411,Tisu Paseo 250s,18500.00,13,Lainnya
PRD050412,Teh Celup Sosro,7000,88,Minuman
PRD050413,Kopi Kapal Api Sachet,1500.00,0,Minuman
PRD050414,Pembersih Lantai Wipol 750ml,Rp 18.000,74,Pembersih
PRD050415,Margarin Blue Band 200g,9500.00,26,Sembako
PRD050416,Margarin Forvita 200g,7000.00,46,Sembako
PRD050417,Pembalut Laurier Relax Night,Rp 20.000,84,Perawatan Pribadi
PRD050418,Kecap ABC Pouch 220ml,Rp 9.500,61,Bumbu
PRD050419,Korek Api Gas Tokai, 3000 ,64,Lainnya
PRD050420,Popok Sweety Bronze Pants L,Rp 48000,20,Perawatan Bayi
PRD050421,Mie Sedap Goreng,2900,30,Makanan
PRD050422,Pembersih Lantai Wipol 750ml, 18000 ,29,Pembersih
