prodcut_id,pruduct_name,hargaa,stcok,katgori
PRD120046,Rokok Marlboro Merah,Rp 38000,-89,Rokok
PRD120047,Sabun Cuci Piring Mama Lemon 400ml,Rp 9500,57,Pembersih
PRD120048,Deterjen Attack Jaz1 800g,19000,40,Pembersih
PRD120049,Fanta Merah 390ml,Rp 5.000,35,Minuman
PRD120050,Rokok Marlboro Merah,Rp 38000,52,Rokok
PRD120051,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,-24,Pembersih
PRD120052,Pembersih Lantai Wipol 750ml,Rp 18000,58,Pembersih
PRD120053,Indomie Kuah Ayam Bawang,,76,Makanan
PRD120054,Saus Sambal Indofood 340ml,14500,89,Bumbu
PRD120055,Tepung Tapioka Rose Brand 500g, 8000 ,6,Sembako
PRD120056,Kecap ABC Pouch 220ml,Rp 9.500,79,Bumbu
PRD120057,Minyak Filma 2L,34000.00,99,Sembako
PRD120058,Popok MamyPoko Pants M,55000.00,88,
PRD120059,Rokok Marlboro Merah,38000.00,18,Rokok
,Shampo Pantene Sachet,1500,21,Perawatan Pribadi
PRD120061,Aqua Gelas 240ml,Rp 1.000,7,Minuman
PRD120062,Sabun Lifebuoy Merah,Rp 4000,,Perawatan Pribadi
,Margarin Blue Band 200g,9500.00,61.0,Sembako
PRD120064,Garam Kapal 250g,3000,66,Bumbu
PRD120065,Tepung Beras Rose Brand 500g,Rp 7500,18,Sembako
PRD120066,Teh Pucuk Harum 350ml,4000,98,Minuman
PRD120067,Obat Nyamuk Baygon Bakar,6000,-80,Lainnya
PRD120068,Popok Sweety Bronze Pants L,,77,Perawatan Bayi
PRD120069,Indomie Kari Ayam,2800,68,Makanan
PRD120070,Kopi Kapal Api Sachet,Rp 1500,20,
PRD120071,Gula Pasir Gulaku 1kg,,43,Sembako
PRD120072,Susu Indomilk Sachet,Rp 1500,79,Minuman
PRD120073,Baterai Alkalin AA (2 pcs),Rp 15000,9,Lainnya
PRD120074,Kopi Torabika Susu,Rp 1.500,25.0,Minuman
PRD120075,Deterjen Rinso Anti Noda 700g,22000,17,Pembersih
PRD120076,Shampo Pantene Sachet, 1500 ,,Perawatan Pribadi
PRD120077,Gula Curah 1kg,15000,23,Sembako
PRD120078,Kecap ABC Pouch 220ml,9500.00,59,Bumbu
PRD120079,Kecap ABC Pouch 220ml,Rp 9500,85,Bumbu
PRD120080,Sabun Nuvo Biru,Rp 3.500,-57,Perawatan Pribadi
PRD120081,Minyak Curah 1L,Rp 16000,60,Sembako
PRD120082,Kopi Kapal Api Sachet,Rp 1500,-55,Minuman
PRD120083,Susu Bear Brand,10500,26,Minuman
PRD120084,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,92,Pembersih
PRD120085,Susu Dancow Sachet,3500.00,-30,
PRD120086,Baterai ABC Sedang (2 pcs),Rp 10.000,-8,Lainnya
PRD120087,Susu Dancow Sachet,Rp 3500,68,Minuman
PRD120088,Pembersih Lantai Wipol 750ml,Rp 18.000,3,Pembersih
PRD120089,Pasta Gigi Pepsodent 190g,12500,82.0,Perawatan Pribadi
PRD120090,Popok Sweety Bronze Pants L,48000,73,Perawatan Bayi
PRD120091,Coca Cola Botol 390ml,5000.00,92,
PRD120092,Shampo Sunsilk Sachet,Rp 1500,97.0,Perawatan Pribadi
PRD120093,Susu Bear Brand,10500,98,Minuman
PRD120094,Indomie Goreng, 3000 ,24,Makanan
PRD120095,Margarin Blue Band 200g,9500.00,39.0,Sembako
PRD120096,Aqua Gelas 240ml,Rp 1.000,69.0,Minuman
PRD120097,Kopi Kapal Api Sachet,1500.00,-61,Minuman
PRD120098,Margarin Forvita 200g,7000,-23,Sembako
PRD120099,Tepung Terigu Segitiga Biru 1kg,Rp 13000,14,
PRD120100,Rokok Surya 16, 31000 ,8,Rokok
,Gula Pasir Gulaku 1kg,Rp 16000,,Sembako
PRD120102,Aqua Gelas 240ml,Rp 1.000,1,Minuman
PRD120103,Sabun Lux Mawar,Rp 4.500,47,Perawatan Pribadi
PRD120104,Rokok Sampoerna Mild,30000.00,19,Rokok
PRD120105,Fanta Merah 390ml,Rp 5.000,24.0,Minuman
PRD120106,Rokok Sampoerna Mild,30000.00,-2,Rokok
PRD120107,Gula Curah 1kg,15000.00,29.0,Sembako
,Kopi Torabika Susu,1500,17.0,Minuman
PRD120109,,1000,,Minuman
PRD120110,Shampo Lifebuoy Sachet,Rp 1.000,36,Perawatan Pribadi
PRD120111,Garam Kapal 250g,3000,,Bumbu
PRD120112,Indomie Kari Ayam,Rp 2800,28,Makanan
PRD120113,Tisu Tessa 250s, 17000 ,69,Lainnya
PRD120114,Gula Pasir Gulaku 1kg,16000,100,Sembako
PRD120115,Popok MamyPoko Pants M,55000.00,83,Perawatan Bayi
PRD120116,Bumbu Racik Indofood Sayur Asem,2500,78,Bumbu
PRD120117,Minyak Curah 1L,16000,-60,Sembako
PRD120118,Susu Dancow Sachet,Rp 3.500,23,Minuman
PRD120119,Indomie Kari Ayam, 2800 ,52,Makanan
PRD120120,Pembalut Laurier Relax Night,Rp 20.000,15,Perawatan Pribadi
PRD120121,Garam Kapal 250g,Rp 3000,72,Bumbu
PRD120122,Susu Dancow Sachet,Rp 3.500,96,
PRD120123,Sabun Lux Mawar,Rp 4500,66.0,Perawatan Pribadi
PRD120124,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,10,Pembersih
PRD120125,Pembersih Lantai Wipol 750ml,18000,,Pembersih
PRD120126,Deterjen Daia 850g,18500,40,Pembersih
PRD120127,Minyak Filma 2L,Rp 34000,48,Sembako
PRD120128,,Rp 2800,25,Makanan
PRD120129,Rokok Marlboro Merah,Rp 38000,0,Rokok
PRD120130,Pembalut Charm Cooling Fresh,Rp 18000,95,Perawatan Pribadi
PRD120131,Pembalut Charm Cooling Fresh,18000,90,Perawatan Pribadi
PRD120132,Tepung Terigu Segitiga Biru 1kg,Rp 13.000,100,Sembako
PRD120133,Garam Kapal 250g,Rp 3.000,6,Bumbu
PRD120134,Beras Rojolele 5kg,67000,54,Sembako
PRD120135,Obat Nyamuk Hit Spray,Rp 35.000,57,Lainnya
PRD120136,Gula Curah 1kg,Rp 15.000,37,Sembako
PRD120137,Bumbu Racik Indofood Sayur Asem,2500,52,Bumbu
PRD120138,Saus Sambal ABC 340ml,15000,75,Bumbu
PRD120139,Susu Frisian Flag Sachet,1500.00,-14,Minuman
PRD120140,Beras Rojolele 5kg,Rp 67000,-20,Sembako
PRD120141,Aqua Botol 600ml,3500,29,Minuman
PRD120142,Tepung Tapioka Rose Brand 500g,Rp 8.000,100,Sembako
PRD120143,Shampo Clear Sachet,1500.00,87,Perawatan Pribadi
PRD120144,Tisu Paseo 250s,18500.00,89,Lainnya
PRD120145,Deterjen Rinso Anti Noda 700g,22000,-83,Pembersih
PRD120146,Rokok Djarum Super,22000,28.0,Rokok
PRD120147,Sabun Mandi Dettol,Rp 5.000,14,Perawatan Pribadi
PRD120148,Rokok Surya 16,31000,40,Rokok
PRD120149,Kopi Nescafe Classic,Rp 5000,93,Minuman
PRD120150,Rokok Djarum Super,22000,66,Rokok
PRD120151,,20000,60,Perawatan Pribadi
PRD120152,Pasta Gigi Pepsodent 190g,Rp 12.500,-38,Perawatan Pribadi
,Tepung Beras Rose Brand 500g,7500,70,Sembako
PRD120154,Pembalut Charm Cooling Fresh,Rp 18000,67,Perawatan Pribadi
PRD120155,Kopi Kapal Api Sachet,Rp 1.500,-10,Minuman
PRD120156,Popok MamyPoko Pants M,Rp 55.000,94,Perawatan Bayi
PRD120157,Susu Bear Brand,10500,5,Minuman
PRD120158,Kopi Nescafe Classic,Rp 5000,3,Minuman
PRD120159,Pasta Gigi Ciptadent 190g,Rp 10.000,50,Perawatan Pribadi
PRD120160,Shampo Sunsilk Sachet,Rp 1500,80,Perawatan Pribadi
PRD120161,Pembalut Laurier Relax Night,20000,-79,Perawatan Pribadi
PRD120162,Sprite Botol 390ml,,64,Minuman
PRD120163,Pembalut Laurier Relax Night,,15,Perawatan Pribadi
PRD120164,Sabun Cuci Piring Mama Lemon 400ml,9500.00,6,Pembersih
PRD120165,,Rp 22000,64,Rokok
PRD120166,Minyak Filma 2L,Rp 34.000,74,Sembako
PRD120167,Rokok Surya 16,Rp 31.000,52,Rokok
PRD120168,Aqua Galon,Rp 21000,-3,Minuman
PRD120169,Sabun Cuci Piring Mama Lemon 400ml,Rp 9.500,13,Pembersih
PRD120170,Tisu Tessa 250s,17000,73,Lainnya
PRD120171,Obat Nyamuk Baygon Bakar, 6000 ,-96,Lainnya
PRD120172,Deterjen Attack Jaz1 800g,,,Pembersih
PRD120173,,Rp 1000,41,Minuman
PRD120174,Tisu Tessa 250s,17000.00,39.0,Lainnya
PRD120175,Kopi Luwak White Koffie,2000,26,Minuman
PRD120176,Popok Sweety Bronze Pants L,Rp 48.000,92,Perawatan Bayi
PRD120177,Tepung Beras Rose Brand 500g,7500.00,15,Sembako
PRD120178,Margarin Forvita 200g,Rp 7.000,39,Sembako
PRD120179,Baterai ABC Sedang (2 pcs),Rp 10.000,41,Lainnya
PRD120180,,Rp 3.500,21,Minuman
PRD120181,Shampo Pantene Sachet,Rp 1.500,19,Perawatan Pribadi
PRD120182,Susu Dancow Sachet,3500,16,Minuman
PRD120183,Teh Pucuk Harum 350ml,4000,60,Minuman
PRD120184,Fanta Merah 390ml,5000,7,Minuman
PRD120185,Kopi Torabika Susu,1500.00,70.0,Minuman
PRD120186,Susu Bear Brand,10500,3,Minuman
PRD120187,Popok Sweety Bronze Pants L,48000,70,Perawatan Bayi
PRD120188,Susu Bear Brand,10500,89,Minuman
PRD120189,,13500,34,Pembersih
PRD120190,Le Minerale 600ml,Rp 3.500,73,Minuman
PRD120191,Teh Sariwangi Celup,Rp 6500,40,Minuman
PRD120192,Saus Sambal ABC 340ml,15000,52,Bumbu
PRD120193,Shampo Clear Sachet,1500.00,31,Perawatan Pribadi
PRD120194,,15000.00,,Lainnya
PRD120195,Kopi Kapal Api Sachet, 1500 ,87,
PRD120196,Korek Api Gas Tokai,3000,10,Lainnya
PRD120197,Sabun Cuci Piring Sunlight 460ml,11000,16,Pembersih
PRD120198,Kecap Bango Pouch 220ml, 11000 ,98,Bumbu
PRD120199,Obat Nyamuk Baygon Bakar,6000,43,Lainnya
PRD120200,Minyak Bimoli 2L, 35000 ,13,Sembako
,Sabun Lifebuoy Merah,4000.00,82,Perawatan Pribadi
PRD120202,Kecap Bango Pouch 220ml,Rp 11.000,33,Bumbu
PRD120203,Saus Sambal ABC 340ml,Rp 15.000,,Bumbu
PRD120204,Fanta Merah 390ml,5000,12,Minuman
PRD120205,Sikat Gigi Formula,Rp 6000,,
PRD120206,Baterai ABC Sedang (2 pcs),Rp 10.000,85,Lainnya
PRD120207,Kopi Nescafe Classic,Rp 5000,100.0,Minuman
PRD120208,Margarin Forvita 200g, 7000 ,98,
PRD120209,Gula Curah 1kg,15000,49.0,Sembako
PRD120210,Teh Pucuk Harum 350ml,4000,45,Minuman
PRD120211,,1000,58,Minuman
PRD120212,Gula Pasir Gulaku 1kg,16000.00,-30,Sembako
PRD120213,Saus Sambal ABC 340ml,Rp 15000,,Bumbu
PRD120214,Rokok Surya 16,Rp 31.000,-62,Rokok
,,Rp 10000,92,Perawatan Pribadi
PRD120216,Tisu Paseo 250s,18500.00,30,Lainnya
PRD120217,Sabun Lifebuoy Merah,Rp 4.000,,Perawatan Pribadi
PRD120218,Mie Sedap Goreng,Rp 2900,7,Makanan
PRD120219,Kecap Bango Pouch 220ml,Rp 11.000,,
PRD120220,Indomie Kuah Ayam Bawang, 2800 ,31,Makanan
PRD120221,Kopi Torabika Susu,1500.00,19,Minuman
PRD120222,Kopi Torabika Susu,Rp 1.500,75,Minuman
PRD120223,Deterjen Rinso Anti Noda 700g,22000.00,59,Pembersih
PRD120224,Aqua Galon,21000.00,16,Minuman
,Minyak Bimoli 2L, 35000 ,76.0,Sembako
,Susu Frisian Flag Sachet,1500.00,65,Minuman
,Rokok Djarum Super, 22000 ,54,
,Minyak Filma 2L,,85.0,Sembako
PRD120229,Tisu Tessa 250s,17000.00,83,Lainnya
PRD120230,Aqua Botol 600ml,3500,55.0,Minuman
PRD120231,Beras Pandan Wangi 5kg,Rp 70.000,44,Sembako
,Kopi Torabika Susu,Rp 1.500,10,Minuman
PRD120233,Rokok Gudang Garam Filter,23000,11,Rokok
PRD120234,Fanta Merah 390ml,Rp 5.000,80,Minuman
PRD120235,Saus Sambal Indofood 340ml,Rp 14500,37,Bumbu
PRD120236,Sabun Lux Mawar,Rp 4500,66,Perawatan Pribadi
PRD120237,Aqua Botol 600ml,3500,60,Minuman
PRD120238,Bumbu Racik Indofood Sayur Asem,2500,14,Bumbu
PRD120239,Teh Pucuk Harum 350ml,4000,87,Minuman
PRD120240,Tisu Paseo 250s,18500,94,Lainnya
PRD120241,Deterjen Rinso Anti Noda 700g,Rp 22.000,16,Pembersih
PRD120242,Aqua Gelas 240ml,Rp 1.000,12,Minuman
PRD120243,Korek Api Gas Tokai,3000,98,Lainnya
PRD120244,Garam Refina 250g, 3500 ,,Bumbu
PRD120245,Deterjen Attack Jaz1 800g,Rp 19.000,68,Pembersih
PRD120246,Rokok Marlboro Merah,38000.00,20,Rokok
PRD120247,Minyak Curah 1L,16000,-4,Sembako
PRD120248,Deterjen Attack Jaz1 800g,19000,25,Pembersih
,Minyak Sania 2L,Rp 34.500,79,Sembako
PRD120250,Teh Sariwangi Celup,6500.00,1,Minuman
PRD120251,Susu Dancow Sachet,3500,51,Minuman
PRD120252,Kapur Barus Bagus, 15000 ,52,Lainnya
PRD120253,Obat Nyamuk Baygon Bakar,Rp 6000,85,Lainnya
PRD120254,Rokok Gudang Garam Filter,Rp 23.000,77,Rokok
PRD120255,Popok Sweety Bronze Pants L,48000.00,58,Perawatan Bayi
PRD120256,Margarin Blue Band 200g,Rp 9.500,33,Sembako
PRD120257,Gula Curah 1kg,Rp 15000,34.0,Sembako
PRD120258,,Rp 34.000,46,Sembako
PRD120259,Kopi Nescafe Classic,Rp 5000,50,Minuman
PRD120260,Gula Pasir Gulaku 1kg,16000,11,Sembako
PRD120261,Shampo Lifebuoy Sachet,1000.00,,Perawatan Pribadi
PRD120262,Sabun Nuvo Biru,3500,96.0,Perawatan Pribadi
PRD120263,Deterjen Rinso Anti Noda 700g,Rp 22.000,96,Pembersih
PRD120264,Tisu Paseo 250s,18500,39,Lainnya
PRD120265,Minyak Sania 2L,Rp 34500,32,Sembako
PRD120266,,21000,96,Minuman
PRD120267,Sabun Lifebuoy Merah,Rp 4000,61.0,Perawatan Pribadi
PRD120268,Popok Sweety Bronze Pants L,Rp 48.000,42,Perawatan Bayi
PRD120269,Rokok Marlboro Merah,38000,100,Rokok
PRD120270,Saus Sambal Indofood 340ml,14500.00,,Bumbu
PRD120271,Minyak Bimoli 2L,Rp 35.000,76,Sembako
PRD120272,Garam Kapal 250g,3000,43,Bumbu
PRD120273,Baterai ABC Sedang (2 pcs),Rp 10.000,53,
PRD120274,Pembalut Charm Cooling Fresh,Rp 18000,67,Perawatan Pribadi
PRD120275,Saus Sambal ABC 340ml,Rp 15000,10,Bumbu
PRD120276,Teh Pucuk Harum 350ml,4000.00,3,Minuman
PRD120277,,Rp 1500,70.0,Minuman
PRD120278,Gula Pasir Gulaku 1kg,Rp 16000,26,Sembako
PRD120279,Fanta Merah 390ml,5000,4,Minuman
PRD120280,Sprite Botol 390ml,5000,57,Minuman
PRD120281,Tisu Tessa 250s, 17000 ,69,Lainnya
PRD120282,Beras Rojolele 5kg,67000.00,93,Sembako
PRD120283,Susu Dancow Sachet, 3500 ,74,Minuman
PRD120284,Sabun Nuvo Biru,3500,,Perawatan Pribadi
PRD120285,Tisu Paseo 250s,18500,94,Lainnya
PRD120286,,Rp 65000,32,Sembako
PRD120287,Coca Cola Botol 390ml,Rp 5000,3,Minuman
PRD120288,Pembersih Lantai Super Pell 770ml,Rp 13500,93,Pembersih
PRD120289,Coca Cola Botol 390ml,Rp 5.000,63.0,Minuman
PRD120290,Mie Sedap Goreng,2900,1,Makanan
PRD120291,Sikat Gigi Formula,6000,26,
PRD120292,Kopi ABC Susu, 1500 ,30,Minuman
PRD120293,Deterjen Daia 850g,18500.00,,Pembersih
PRD120294,Rokok Gudang Garam Filter,Rp 23000,83,Rokok
PRD120295,Rokok Sampoerna Mild,30000,18.0,Rokok
PRD120296,Margarin Forvita 200g,7000,16,Sembako
PRD120297,,Rp 6000,57,Perawatan Pribadi
PRD120298,Le Minerale 600ml, 3500 ,20,Minuman
PRD120299,Teh Sariwangi Celup,6500,20,Minuman
PRD120300,Mie Sedap Goreng,Rp 2900,68,Makanan
PRD120301,Deterjen Daia 850g,18500,43,Pembersih
PRD120302,Susu Dancow Sachet,3500.00,-41,
PRD120303,Minyak Bimoli 2L,35000,84,Sembako
PRD120304,Tepung Beras Rose Brand 500g,7500,81,Sembako
PRD120305,Bumbu Racik Indofood Nasi Goreng,2500.00,-94,Bumbu
PRD120306,Susu Dancow Sachet,Rp 3500,75,Minuman
,Bumbu Racik Indofood Sayur Asem,2500,84,Bumbu
PRD120308,Indomie Kuah Soto,Rp 2.800,-41,Makanan
PRD120309,Susu Frisian Flag Sachet,1500.00,31,Minuman
PRD120310,Baterai ABC Sedang (2 pcs),10000,3,Lainnya
PRD120311,Rokok Marlboro Merah, 38000 ,69,Rokok
PRD120312,Sabun Lifebuoy Merah, 4000 ,49,Perawatan Pribadi
,Sabun Lux Mawar,Rp 4500,26,Perawatan Pribadi
PRD120314,Saus Sambal Indofood 340ml,Rp 14500,76,Bumbu
PRD120315,Shampo Pantene Sachet, 1500 ,19,Perawatan Pribadi
PRD120316,Sabun Cuci Piring Sunlight 460ml,Rp 11000,,Pembersih
PRD120317,Indomie Kari Ayam,Rp 2800,74,Makanan
PRD120318,Indomie Goreng,3000.00,91,
PRD120319,Susu Frisian Flag Sachet,Rp 1500,32,Minuman
PRD120320,Pembalut Charm Cooling Fresh,18000,38,Perawatan Pribadi
PRD120321,Kecap Bango Pouch 220ml,11000,-69,Bumbu
PRD120322,Gula Curah 1kg,15000,23,Sembako
PRD120323,Tepung Tapioka Rose Brand 500g,8000.00,98,Sembako
PRD120324,Susu Frisian Flag Sachet, 1500 ,-37,Minuman
PRD120325,Deterjen Attack Jaz1 800g,19000,28,
PRD120326,Le Minerale 600ml,Rp 3500,97.0,Minuman
PRD120327,Garam Refina 250g,3500,60,Bumbu
PRD120328,Sabun Nuvo Biru,Rp 3.500,38,Perawatan Pribadi
PRD120329,Beras Pandan Wangi 5kg,Rp 70.000,18,Sembako
PRD120330,,7000,46.0,Minuman
PRD120331,Aqua Galon,Rp 21.000,70.0,Minuman
PRD120332,Popok Sweety Bronze Pants L, 48000 ,30,Perawatan Bayi
PRD120333,Kecap ABC Pouch 220ml,9500,68,Bumbu
PRD120334,Rokok Surya 16,31000.00,56,Rokok
PRD120335,Minyak Filma 2L,Rp 34000,29,Sembako
PRD120336,Kopi Nescafe Classic,Rp 5.000,,Minuman
PRD120337,Rokok Djarum Super,22000,27.0,Rokok
PRD120338,Susu Dancow Sachet,3500.00,,Minuman
PRD120339,Popok Sweety Bronze Pants L,Rp 48.000,23.0,
PRD120340,Beras Ramos 5kg,,97,Sembako
PRD120341,Obat Nyamuk Baygon Bakar,6000,99,Lainnya
PRD120342,Rokok Marlboro Merah,Rp 38.000,0,Rokok
PRD120343,Pembalut Laurier Relax Night, 20000 ,70,Perawatan Pribadi
PRD120344,Gula Curah 1kg,15000.00,25,Sembako
PRD120345,Bumbu Racik Indofood Nasi Goreng,Rp 2500,49,Bumbu
PRD120346,,Rp 2.000,30,Minuman
PRD120347,Saus Sambal ABC 340ml,15000.00,63,Bumbu
PRD120348,Indomie Kuah Soto,2800.00,80,Makanan
PRD120349,Obat Nyamuk Hit Spray,35000.00,95,Lainnya
PRD120350,Rokok Surya 16,31000,5,Rokok
,Mie Sedap Goreng,,91.0,Makanan
PRD120352,Shampo Pantene Sachet,1500,,Perawatan Pribadi
PRD120353,Kecap ABC Pouch 220ml,9500,,
PRD120354,Beras Rojolele 5kg,Rp 67000,-73,Sembako
PRD120355,Gula Curah 1kg,15000.00,85,Sembako
PRD120356,Le Minerale 600ml,3500.00,61,Minuman
PRD120357,Coca Cola Botol 390ml, 5000 ,68,Minuman
PRD120358,Beras Ramos 5kg,65000,7,Sembako
PRD120359,Saus Sambal ABC 340ml,15000,15,Bumbu
PRD120360,Sabun Lux Mawar,4500,19,Perawatan Pribadi
,Beras Pandan Wangi 5kg,70000,42,Sembako
PRD120362,Indomie Kuah Ayam Bawang,Rp 2.800,15,Makanan
PRD120363,,10000,32,Lainnya
PRD120364,Sabun Cuci Piring Sunlight 460ml,11000.00,2,Pembersih
PRD120365,Susu Indomilk Sachet,Rp 1.500,25,Minuman
PRD120366,Beras Ramos 5kg, 65000 ,18,Sembako
PRD120367,Teh Sariwangi Celup,Rp 6500,64,Minuman
PRD120368,Rokok Marlboro Merah,38000.00,35,
PRD120369,Aqua Galon,21000.00,89,Minuman
PRD120370,Kopi ABC Susu,1500.00,,Minuman
PRD120371,Teh Sariwangi Celup,Rp 6.500,77,Minuman
PRD120372,Shampo Pantene Sachet,1500.00,58.0,Perawatan Pribadi
PRD120373,Popok Sweety Bronze Pants L,Rp 48000,30,Perawatan Bayi
PRD120374,Obat Nyamuk Baygon Bakar,Rp 6.000,19,Lainnya
PRD120375,,48000.00,2,Perawatan Bayi
PRD120376,Tisu Tessa 250s,17000,47.0,Lainnya
PRD120377,Garam Kapal 250g,3000,62.0,Bumbu
PRD120378,Bumbu Racik Indofood Nasi Goreng, 2500 ,,Bumbu
PRD120379,,3000,30,Lainnya
PRD120380,Minyak Curah 1L,16000.00,61,Sembako
PRD120381,Pembersih Lantai Super Pell 770ml,Rp 13500,97.0,Pembersih
,Teh Sariwangi Celup,6500,21.0,Minuman
PRD120383,Susu Dancow Sachet, 3500 ,5,Minuman
,Indomie Kuah Soto,Rp 2800,85,Makanan
PRD120385,Gula Pasir Gulaku 1kg,Rp 16.000,29,
,Shampo Pantene Sachet,1500,100,Perawatan Pribadi
PRD120387,Susu Frisian Flag Sachet, 1500 ,-38,Minuman
PRD120388,Pasta Gigi Ciptadent 190g,Rp 10000,1,Perawatan Pribadi
,Obat Nyamuk Hit Spray,35000.00,42,Lainnya
PRD120390,Indomie Goreng,3000,58,Makanan
PRD120391,Rokok Sampoerna Mild,Rp 30000,92,Rokok
PRD120392,Susu Frisian Flag Sachet,,64.0,Minuman
PRD120393,Garam Refina 250g,3500.00,54,Bumbu
PRD120394,Gula Pasir Gulaku 1kg,16000,63.0,Sembako
PRD120395,Minyak Filma 2L,Rp 34.000,16.0,Sembako
PRD120396,Kopi Luwak White Koffie,2000.00,43,Minuman
PRD120397,Teh Sariwangi Celup,Rp 6500,-2,Minuman
PRD120398,Margarin Forvita 200g,7000,,Sembako
PRD120399,Obat Nyamuk Baygon Bakar,6000.00,61,Lainnya
PRD120400,Susu Indomilk Sachet,Rp 1.500,-45,
PRD120401,Margarin Forvita 200g,7000,48,Sembako
PRD120402,Kopi ABC Susu,Rp 1500,73,
PRD120403,Pasta Gigi Pepsodent 190g,Rp 12.500,62,Perawatan Pribadi
PRD120404,Pasta Gigi Ciptadent 190g,Rp 10.000,40,Perawatan Pribadi
PRD120405,Obat Nyamuk Hit Spray,35000,14,Lainnya
PRD120406,Garam Kapal 250g,3000,17,Bumbu
PRD120407,Susu Dancow Sachet,3500,24,Minuman
PRD120408,Rokok Djarum Super,22000.00,64,Rokok
PRD120409,,Rp 23.000,84,Rokok
PRD120410,Aqua Botol 600ml, 3500 ,88,Minuman
PRD120411,,Rp 12500,7,Perawatan Pribadi
PRD120412,Mie Sedap Goreng, 2900 ,84,Makanan
PRD120413,Susu Frisian Flag Sachet,Rp 1.500,8,Minuman
PRD120414,Margarin Forvita 200g,7000,-80,Sembako
PRD120415,,10000.00,19.0,Perawatan Pribadi
PRD120416,Rokok Gudang Garam Filter,23000,36,Rokok
PRD120417,,Rp 18.500,84,Pembersih
PRD120418,Sabun Lifebuoy Merah,,75,Perawatan Pribadi
PRD120419,Susu Bear Brand,10500.00,61,Minuman
PRD120420,Kopi Nescafe Classic,5000.00,66,Minuman
PRD120421,Beras Rojolele 5kg,67000,23,Sembako
PRD120422,Pembersih Lantai Wipol 750ml,18000,34,Pembersih
,Sabun Mandi Dettol,Rp 5.000,0,Perawatan Pribadi
PRD120424,Kopi Luwak White Koffie,Rp 2000,42,Minuman
PRD120425,Kecap Bango Pouch 220ml,11000.00,2,Bumbu
PRD120426,Kopi Nescafe Classic,5000.00,22,Minuman
PRD120427,Tepung Tapioka Rose Brand 500g, 8000 ,18.0,Sembako
